GeneName	up5	dn5	unchange5	all	HN5
HSPA6	247	2	73	322	245
HSPA1A	240	1	81	322	239
HSPA1B	233	2	87	322	231
DNAJB1	212	2	108	322	210
BAG3	182	1	139	322	181
PNLDC1	177	2	143	322	175
CRYAB	174	1	147	322	173
HSPH1	167	0	155	322	167
FOS	172	7	143	322	165
ZFAND2A	168	3	151	322	165
RRAD	159	4	159	322	155
LTA	156	2	164	322	154
HSPA1L	151	1	170	322	150
DNAJB4	150	1	171	322	149
DEDD2	146	3	173	322	143
DCAF4L1	141	0	181	322	141
PGF	144	3	175	322	141
IER5	140	0	182	322	140
HBA2	149	10	163	322	139
FKBP4	132	3	187	322	129
MIA	140	13	169	322	127
TENT5A	129	2	191	322	127
ACTRT3	129	3	190	322	126
RGS2	130	8	184	322	122
VHLL	124	3	195	322	121
TEX43	129	10	183	322	119
SERPINH1	120	1	201	322	119
FOSB	125	7	190	322	118
RFPL2	119	2	201	322	117
FBLL1	120	4	198	322	116
LSMEM1	116	3	203	322	113
CCDC121	114	1	207	322	113
HSPB1	115	3	204	322	112
NHLH1	112	1	209	322	111
CCDC81	110	1	211	322	109
TULP2	122	14	186	322	108
DNAJA4	110	4	208	322	106
EGR2	108	4	210	322	104
ALOXE3	100	0	222	322	100
HSPB8	103	3	216	322	100
C2ORF66	102	2	218	322	100
TMEM95	100	1	221	322	99
LCN10	104	6	212	322	98
PCSK5	105	7	210	322	98
ADCY10	100	3	219	322	97
HSPA4L	96	0	226	322	96
SESN3	95	0	227	322	95
CCL26	113	18	191	322	95
CASS4	92	1	229	322	91
HSPE1-MOB4	99	9	214	322	90
USPL1	91	2	229	322	89
LY6G6C	95	6	221	322	89
ATF3	94	6	222	322	88
EGR1	97	10	215	322	87
DUSP1	90	3	229	322	87
MAFB	87	1	234	322	86
FOXJ1	83	0	239	322	83
ENGASE	85	2	235	322	83
COX8C	98	15	209	322	83
DEFB115	88	5	229	322	83
DHDH	96	14	212	322	82
TICAM2	83	2	237	322	81
CSF3	82	1	239	322	81
CLU	85	4	233	322	81
CHRNA2	84	4	234	322	80
MIA-RAB4B	99	19	204	322	80
C11ORF94	104	25	193	322	79
THEGL	81	2	239	322	79
CHORDC1	79	0	243	322	79
DUX4	82	4	236	322	78
CCNP	82	4	236	322	78
HSPB9	86	10	226	322	76
SUMO4	85	9	228	322	76
FAM177B	81	6	235	322	75
B3GALT4	79	4	239	322	75
CACNA1G	77	3	242	322	74
RASD1	80	6	236	322	74
KLHL25	74	0	248	322	74
HSPB2	80	7	235	322	73
FZD8	75	2	245	322	73
IGLV1-50	95	23	204	322	72
SERPINC1	73	1	248	322	72
C11ORF96	75	3	244	322	72
CFAP53	73	1	248	322	72
TMPRSS9	75	3	244	322	72
H1-6	76	4	242	322	72
GAL3ST1	81	9	232	322	72
ARC	72	1	249	322	71
FBXW10B	74	3	245	322	71
IFI35	72	1	249	322	71
LGALS4	82	12	228	322	70
DEPP1	79	9	234	322	70
CFP	73	3	246	322	70
CD14	75	5	242	322	70
TMEM31	75	5	242	322	70
EGR3	71	2	249	322	69
MAFA	71	2	249	322	69
HBA1	80	11	231	322	69
SPACDR	70	1	251	322	69
GEM	69	0	253	322	69
NR4A3	70	2	250	322	68
SERINC4	71	3	248	322	68
TNF	70	2	250	322	68
HSP90AA1	69	1	252	322	68
DNAJA1	69	2	251	322	67
JMJD6	68	1	253	322	67
RSPH10B2	73	6	243	322	67
ESR1	73	6	243	322	67
XIRP1	69	2	251	322	67
COL26A1	70	3	249	322	67
LAG3	69	2	251	322	67
SEMA4A	72	5	245	322	67
EFCAB12	67	1	254	322	66
OOEP	72	6	244	322	66
CLDN9	68	2	252	322	66
UCP3	68	3	251	322	65
LENEP	71	6	245	322	65
CLDN6	72	7	243	322	65
SULT6B1	75	11	236	322	64
PNCK	76	12	234	322	64
IGHG4	67	3	252	322	64
FOXD4L3	68	4	250	322	64
CLK1	63	0	259	322	63
C17ORF67	64	1	257	322	63
BMP4	65	2	255	322	63
JUN	66	3	253	322	63
TRIML2	65	2	255	322	63
LRIT3	63	0	259	322	63
MRPL18	66	3	253	322	63
OR2B6	68	6	248	322	62
MAP7D2	64	2	256	322	62
IL31	65	3	254	322	62
KCNE5	64	2	256	322	62
PLA2G12B	68	6	248	322	62
CCL20	73	11	238	322	62
GAS1	66	4	252	322	62
NCR3	67	5	250	322	62
SLC6A13	67	6	249	322	61
MGARP	62	1	259	322	61
C4ORF47	63	2	257	322	61
CLEC18B	73	12	237	322	61
FRG2B	62	3	257	322	59
SPDYA	67	8	247	322	59
WDR49	69	10	243	322	59
HIBCH	62	3	257	322	59
SLC5A3	61	3	258	322	58
FBXL14	59	1	262	322	58
N4BP2L1	61	3	258	322	58
RASL11A	59	1	262	322	58
DYNLT2	65	7	250	322	58
RSPH10B	69	11	242	322	58
NOXRED1	59	1	262	322	58
PLPPR5	58	1	263	322	57
GPA33	60	3	259	322	57
ADORA2A	65	8	249	322	57
PPP1R15A	62	5	255	322	57
TRAF3IP3	66	9	247	322	57
GZMM	66	9	247	322	57
ALDH8A1	60	3	259	322	57
NKRF	59	2	261	322	57
NPIPB9	67	10	245	322	57
CEP295NL	64	7	251	322	57
TBR1	60	3	259	322	57
PROCA1	58	2	262	322	56
FAM209A	75	19	228	322	56
NXT2	61	5	256	322	56
POU2F2	60	4	258	322	56
CYP39A1	57	1	264	322	56
FOXD4L6	69	13	240	322	56
GCGR	60	4	258	322	56
KCTD14	60	5	257	322	55
HSPD1	57	2	263	322	55
TSSK4	61	6	255	322	55
PLAC8L1	57	2	263	322	55
UBB	57	2	263	322	55
UPK1A	61	7	254	322	54
GAGE10	65	11	246	322	54
CACFD1	59	5	258	322	54
EID3	60	6	256	322	54
GAST	73	20	229	322	53
FERMT3	57	4	261	322	53
PRSS55	53	0	269	322	53
PPP1R3C	53	0	269	322	53
SELPLG	59	6	257	322	53
CFAP97D2	54	1	267	322	53
ERICH5	55	3	264	322	52
NPC1L1	56	4	262	322	52
C9ORF152	54	2	266	322	52
CACYBP	57	5	260	322	52
TMC4	63	11	248	322	52
TSPYL2	54	3	265	322	51
PRR18	53	2	267	322	51
HEY1	55	4	263	322	51
TMEM216	55	4	263	322	51
FAM83C	54	3	265	322	51
FBXW10	52	1	269	322	51
SPOCK2	52	1	269	322	51
SBSN	53	2	267	322	51
PNMA8A	53	2	267	322	51
SNX31	61	10	251	322	51
