GeneName	up5	dn5	unchange5	all	HN5
Pde6h	7	22	213	242	-15
F10	1	16	225	242	-15
Zfp354b	2	17	223	242	-15
Pparg	2	17	223	242	-15
Znhit3	2	17	223	242	-15
Gm10408	8	23	211	242	-15
Gm8138	2	17	223	242	-15
Adat2	3	18	221	242	-15
Nqo2	2	17	223	242	-15
Pik3cd	2	17	223	242	-15
Ribc1	2	17	223	242	-15
Pym1	3	18	221	242	-15
Kcnip4	2	17	223	242	-15
Gm3239	5	20	217	242	-15
Spink7	4	19	219	242	-15
Art3	7	22	213	242	-15
Pinlyp	7	22	213	242	-15
Micu2	2	17	223	242	-15
Nkapl	1	16	225	242	-15
Cd46	0	15	227	242	-15
Arhgef33	4	19	219	242	-15
Gm5426	32	47	163	242	-15
Snx22	1	16	225	242	-15
1700010B08Rik	4	19	219	242	-15
Cdc42ep2	2	17	223	242	-15
Gm3685	4	19	219	242	-15
Mutyh	4	19	219	242	-15
Gm43518	15	30	197	242	-15
Wdr54	1	16	225	242	-15
Zbtb9	9	24	209	242	-15
Tmem219	3	18	221	242	-15
Tmem217	8	23	211	242	-15
Foxp2	20	35	187	242	-15
Casq1	1	16	225	242	-15
Zfp956	1	16	225	242	-15
Fzd6	4	19	219	242	-15
Zfp551	3	18	221	242	-15
Zfp977	4	19	219	242	-15
Hao1	0	15	227	242	-15
Prl2c5	3	18	221	242	-15
Clip4	2	17	223	242	-15
Zfp37	3	18	221	242	-15
Kif18b	3	18	221	242	-15
Abcc3	0	15	227	242	-15
Guk1	2	17	223	242	-15
4930474N05Rik	2	17	223	242	-15
Aurkb	3	18	221	242	-15
Cox16	3	18	221	242	-15
Psd4	4	19	219	242	-15
Gm8281	6	21	215	242	-15
Dynlt4	8	23	211	242	-15
Fbxo5	1	17	224	242	-16
Tex14	12	28	202	242	-16
Tead2	2	18	222	242	-16
Pln	8	24	210	242	-16
Kcnj9	0	16	226	242	-16
Kcne3	3	19	220	242	-16
Igkv4-63	7	23	212	242	-16
Iglc2	7	23	212	242	-16
Fam229b	7	23	212	242	-16
Immp2l	10	26	206	242	-16
Ccnf	1	17	224	242	-16
Cd180	7	23	212	242	-16
Cdkl1	5	21	216	242	-16
Tnni3	6	22	214	242	-16
Dhx58	0	16	226	242	-16
Mppe1	3	19	220	242	-16
Msh4	1	17	224	242	-16
Capn1	2	18	222	242	-16
Ckap2l	4	20	218	242	-16
Arhgap19	2	18	222	242	-16
Gm5795	5	21	216	242	-16
Zfp563	4	20	218	242	-16
Gm9903	1	17	224	242	-16
Speer4d	6	22	214	242	-16
Calcoco2	8	24	210	242	-16
Trafd1	3	19	220	242	-16
Agtr1a	17	33	192	242	-16
Zfp512b	3	19	220	242	-16
A730071L15Rik	3	19	220	242	-16
Wnt16	2	18	222	242	-16
A930007A09Rik	1	17	224	242	-16
Smim17	11	27	204	242	-16
H1f4	4	20	218	242	-16
Zfp41	1	17	224	242	-16
Gm27027	20	36	186	242	-16
Rpl9-ps1	15	31	196	242	-16
Gpr31b	0	16	226	242	-16
Slc5a6	2	18	222	242	-16
Mettl22	3	19	220	242	-16
Srpk3	5	21	216	242	-16
Gm904	3	19	220	242	-16
B3galnt1	2	18	222	242	-16
mt-Nd5	6	22	214	242	-16
Ssxb2	5	21	216	242	-16
Dlg2	10	26	206	242	-16
Wfdc3	11	27	204	242	-16
Ppp1r14d	5	21	216	242	-16
4930558C23Rik	2	18	222	242	-16
Cbr2	11	27	204	242	-16
Tsnaxip1	0	16	226	242	-16
Parp11	3	19	220	242	-16
Pbk	5	21	216	242	-16
Zfp82	8	24	210	242	-16
Gm42417	24	40	178	242	-16
Tsga13	1	17	224	242	-16
Zfp759	4	20	218	242	-16
Zfp786	3	19	220	242	-16
Adgrf3	4	21	217	242	-17
H1f0	3	20	219	242	-17
Pwwp3a	2	19	221	242	-17
Coa4	6	23	213	242	-17
Gm15097	7	24	211	242	-17
Lyar	2	19	221	242	-17
Lrrc4c	1	18	223	242	-17
Wdr31	5	22	215	242	-17
Prr22	4	21	217	242	-17
Ldhal6b	3	20	219	242	-17
Zfp28	2	19	221	242	-17
Zfp433	13	30	199	242	-17
4930556J24Rik	1	18	223	242	-17
Cenpu	6	23	213	242	-17
Sgms2	5	22	215	242	-17
Prss57	2	19	221	242	-17
Plk1	4	21	217	242	-17
Pif1	2	19	221	242	-17
Gm20537	17	34	191	242	-17
Igsf10	3	20	219	242	-17
Ccnj	2	19	221	242	-17
