GeneName	up5	dn5	unchange5	all	HN5
Hspa1b	152	3	87	242	149
Hspa1a	140	3	99	242	137
Hspb1	112	1	129	242	111
Gm20481	95	7	140	242	88
Atf3	81	3	158	242	78
Dnajb1	71	0	171	242	71
Hsph1	66	2	174	242	64
Bag3	53	2	187	242	51
Fos	59	8	175	242	51
Edn1	46	1	195	242	45
Egr1	51	7	184	242	44
Phlda1	43	1	198	242	42
Ccnb1ip1	57	19	166	242	38
Hsp90aa1	39	2	201	242	37
Hspb8	39	3	200	242	36
Kcnk4	40	5	197	242	35
Best2	35	0	207	242	35
Dnaja4	40	5	197	242	35
Fgf21	37	4	201	242	33
Xirp1	39	6	197	242	33
Gm44505	43	11	188	242	32
Hspa1l	39	7	196	242	32
Gml	37	7	198	242	30
Ccn1	34	4	204	242	30
Chac1	37	7	198	242	30
Phlda2	32	3	207	242	29
Myo1g	36	7	199	242	29
Tex52	32	3	207	242	29
Jun	33	5	204	242	28
Egr2	39	11	192	242	28
Mc4r	27	0	215	242	27
Clu	31	4	207	242	27
Acta1	33	6	203	242	27
Pspn	40	13	189	242	27
Dnaja1	29	3	210	242	26
Gm21738	46	20	176	242	26
Ddit4	28	2	212	242	26
Serpinf2	28	2	212	242	26
Ly6g6c	38	12	192	242	26
H1f8	29	4	209	242	25
Lrrc26	27	3	212	242	24
Pmaip1	28	4	210	242	24
Gml2	27	3	212	242	24
Gm38100	24	0	218	242	24
Prtn3	30	6	206	242	24
Arc	34	11	197	242	23
Gm14406	40	17	185	242	23
Lrg1	28	5	209	242	23
Gm49356	53	30	159	242	23
Lbx2	26	4	212	242	22
Gm11563	27	5	210	242	22
Mt2	28	6	208	242	22
Dedd2	24	2	216	242	22
Il1r2	32	10	200	242	22
Cebpb	22	0	220	242	22
Cdkn1a	23	1	218	242	22
Serpina3n	22	0	220	242	22
Hspe1	22	0	220	242	22
Wfdc18	34	12	196	242	22
Ly6k	24	2	216	242	22
Gdf15	28	6	208	242	22
Ifitm5	36	14	192	242	22
Gm16253	31	9	202	242	22
Krtap4-16	21	0	221	242	21
Tnfrsf23	26	5	211	242	21
Lman1l	24	3	215	242	21
Cyp2e1	27	6	209	242	21
Fam71d	32	11	199	242	21
Nfil3	23	2	217	242	21
Spp1	26	5	211	242	21
Iqcf1	31	10	201	242	21
Pla2g4c	23	2	217	242	21
Defb42	26	5	211	242	21
Krtap1-5	25	5	212	242	20
S100a9	29	9	204	242	20
Ifitm10	24	4	214	242	20
Dnajb4	24	4	214	242	20
Cys1	23	3	216	242	20
Rsrp1	22	2	218	242	20
Trib3	23	3	216	242	20
Ahsa2	22	2	218	242	20
Serpinh1	22	3	217	242	19
Cldn11	23	4	215	242	19
Arl9	39	20	183	242	19
Mt1	23	4	215	242	19
Maff	22	3	217	242	19
Krt6a	23	4	215	242	19
Ccl11	22	3	217	242	19
Defa24	21	2	219	242	19
Ism2	19	0	223	242	19
Nr4a3	24	5	213	242	19
Crybb3	24	5	213	242	19
Cldn4	25	6	211	242	19
Snap25	19	1	222	242	18
Mansc1	22	4	216	242	18
Oxt	35	17	190	242	18
Ubc	18	0	224	242	18
Gpr75	18	0	224	242	18
Lgals7	29	11	202	242	18
Rhox8	31	13	198	242	18
Cd79a	22	4	216	242	18
S100a3	29	11	202	242	18
Rrad	25	7	210	242	18
Ccer2	23	5	214	242	18
Kcnj14	22	4	216	242	18
Mndal	25	7	210	242	18
Adora2a	20	3	219	242	17
Saa1	29	12	201	242	17
P2rx7	21	4	217	242	17
Fgf17	20	3	219	242	17
Junb	22	5	215	242	17
Muc13	18	1	223	242	17
Ighg2b	20	3	219	242	17
Cryab	19	2	221	242	17
Socs3	23	6	213	242	17
Arl5c	22	5	215	242	17
Lcn2	25	8	209	242	17
Gm21976	22	5	215	242	17
Mzb1	40	23	179	242	17
Cyp2d40	18	1	223	242	17
Il10	21	4	217	242	17
Gm6169	31	14	197	242	17
Banp	18	2	222	242	16
Gm45234	36	20	186	242	16
Cplx3	23	7	212	242	16
Mpo	22	6	214	242	16
Gadd45g	20	4	218	242	16
Mpzl2	18	2	222	242	16
Tex43	30	14	198	242	16
Avp	25	9	208	242	16
Rbmy	18	2	222	242	16
Tmem252	16	0	226	242	16
Ptcra	23	7	212	242	16
Igfbp3	16	0	226	242	16
Pin1rt1	30	14	198	242	16
H4c18	30	14	198	242	16
Slc5a5	18	2	222	242	16
Trpc2	20	4	218	242	16
Elf3	19	3	220	242	16
