GENEID	HN5
Os09g0567500	-40
Os04g0468600	-40
Os10g0490400	-40
Os01g0891100	-40
Os05g0458600	-40
Os08g0178650	-40
Os02g0565150	-40
Os11g0439600	-40
Os03g0319000	-40
Os09g0554200	-40
Os11g0661600	-40
Os03g0358800	-40
Os05g0577100	-40
Os02g0732800	-40
Os02g0706900	-40
Os05g0421100	-40
Os01g0136300	-40
Os05g0528600	-40
Os06g0157900	-40
Os03g0332100	-40
Os01g0748300	-40
Os06g0636700	-40
Os05g0588225	-40
Os02g0508801	-40
Os10g0149100	-40
Os12g0512100	-40
Os01g0695800	-40
Os07g0600200	-40
Os08g0201100	-40
Os05g0355900	-41
Os08g0348300	-41
Os01g0971400	-41
Os05g0375400	-41
Os04g0587451	-41
Os10g0552600	-41
Os04g0545600	-41
Os01g0621500	-41
Os03g0194600	-41
Os01g0940700	-41
Os07g0258100	-41
Os01g0954100	-41
Os06g0199700	-41
Os05g0509050	-41
Os01g0550850	-41
Os03g0204900	-41
Os07g0129300	-41
Os07g0495150	-41
Os06g0306300	-41
Os02g0204400	-41
Os09g0511200	-41
Os07g0292100	-41
Os02g0715000	-41
Os04g0302900	-41
Os01g0265100	-41
Os01g0650501	-42
Os02g0744501	-42
Os09g0271100	-42
Os03g0197200	-42
Os01g0696800	-42
Os03g0225900	-42
Os04g0382900	-42
Os11g0312400	-42
Os10g0555700	-42
Os04g0545300	-42
Os04g0352200	-42
Os12g0194900	-42
Os01g0772100	-42
Os05g0499300	-42
Os02g0833900	-42
Os05g0438700	-42
Os09g0547000	-42
Os01g0795200	-42
Os01g0949800	-42
Os07g0516700	-43
Os01g0631900	-43
Os07g0663700	-43
Os10g0503250	-43
Os02g0269600	-43
Os05g0464400	-43
Os12g0441600	-43
Os04g0338100	-43
Os07g0640401	-43
Os10g0144700	-43
Os06g0628150	-43
Os04g0384800	-43
Os04g0686000	-43
Os01g0945300	-43
Os10g0508700	-43
Os02g0644200	-43
Os03g0401300	-43
Os10g0545500	-43
Os03g0667500	-43
Os01g0248701	-43
Os03g0634400	-43
Os05g0197200	-44
Os08g0300366	-44
Os07g0142500	-44
Os01g0606200	-44
Os03g0617500	-44
Os06g0591200	-44
Os03g0210200	-44
Os01g0620900	-44
Os04g0462550	-44
Os02g0561100	-44
Os09g0517900	-44
Os05g0579600	-44
Os09g0256700	-44
Os10g0160700	-44
Os06g0193200	-45
Os03g0628800	-45
Os04g0453200	-45
Os09g0400400	-45
Os03g0162200	-45
Os10g0531400	-45
Os11g0286800	-45
Os08g0547300	-45
Os07g0691700	-45
Os10g0530900	-45
Os04g0340300	-45
Os05g0475700	-45
Os01g0841700	-45
Os02g0783000	-45
Os06g0697600	-45
Os10g0463200	-45
Os09g0272900	-46
Os05g0439100	-46
Os07g0593000	-46
Os04g0179100	-46
Os09g0443800	-46
Os09g0442600	-46
Os03g0372600	-46
Os02g0114900	-46
Os12g0599700	-46
Os10g0527800	-46
Os02g0251800	-46
Os01g0953000	-46
Os10g0150800	-46
Os01g0631800	-47
Os08g0455900	-47
Os06g0301400	-47
Os03g0842501	-47
Os11g0214900	-47
Os06g0148250	-47
Os10g0349300	-47
Os01g0814100	-47
Os04g0483550	-47
Os04g0518800	-47
Os09g0472900	-47
Os11g0153500	-47
Os04g0609300	-48
Os01g0823150	-48
Os03g0563100	-48
Os01g0778400	-48
Os01g0525701	-48
Os11g0147901	-48
