GENEID	HN5
Os04g0107900	253
Os01g0136100	246
Os02g0259900	238
Os03g0245800	237
Os03g0277300	236
Os02g0259850	236
Os04g0445100	234
Os01g0136000	233
Os01g0136200	229
Os04g0352400	227
Os11g0244200	224
Os01g0136050	222
Os03g0266300	217
Os01g0184100	215
Os01g0135800	215
Os03g0267000	213
Os11g0149200	208
Os01g0184050	205
Os04g0108101	205
Os03g0267200	191
Os06g0229000	185
Os08g0104400	176
Os05g0519700	171
Os05g0296800	166
Os02g0782500	166
Os11g0533400	165
Os03g0266900	163
Os03g0218500	162
Os01g0224200	161
Os04g0578550	158
Os01g0910800	157
Os06g0229066	155
Os03g0745600	151
Os04g0445150	149
Os06g0668200	140
Os11g0453900	138
Os04g0561500	135
Os01g0757500	135
Os06g0565200	135
Os06g0253100	129
Os03g0133100	129
Os02g0773200	127
Os01g0918400	126
Os06g0195800	123
Os09g0109600	121
Os06g0553100	120
Os11g0506800	119
Os06g0592500	118
Os09g0425200	118
Os07g0675200	116
Os03g0745000	114
Os05g0468800	114
Os03g0832200	113
Os08g0442900	113
Os05g0460000	113
Os09g0396900	112
Os04g0548500	112
Os04g0530600	112
Os03g0729000	108
Os05g0428600	107
Os04g0538000	106
Os02g0260000	105
Os03g0168100	104
Os03g0701100	103
Os07g0467200	103
Os03g0276700	99
Os12g0437800	99
Os02g0546600	99
Os05g0407100	98
Os03g0724500	98
Os07g0147550	98
Os02g0758000	98
Os01g0585100	98
Os09g0494500	98
Os06g0682900	97
Os05g0375600	96
Os02g0711300	94
Os03g0230300	92
Os03g0750100	92
Os05g0542500	91
Os03g0356498	91
Os11g0594500	90
Os09g0115900	90
Os06g0110200	90
Os01g0860601	90
Os01g0124000	88
Os03g0156600	87
Os01g0606900	87
Os03g0426900	86
Os06g0133500	86
Os01g0644200	85
Os03g0796000	85
Os03g0417700	85
Os02g0542450	84
Os08g0520600	84
Os02g0463401	82
Os02g0782550	81
Os10g0173000	81
Os05g0494600	81
Os04g0511200	80
Os01g0840100	80
Os12g0147200	80
Os03g0300600	80
Os06g0235900	79
Os04g0185600	79
Os07g0154100	78
Os03g0267100	77
Os11g0454300	77
Os11g0707050	77
Os02g0668000	77
Os03g0111300	76
Os05g0129900	76
Os03g0271400	76
Os04g0480801	76
Os02g0824500	76
Os08g0278900	75
Os02g0622500	75
Os04g0175400	75
Os03g0710500	74
Os03g0623100	73
Os06g0662550	73
Os03g0561400	73
Os08g0557800	73
Os06g0716700	73
Os08g0546800	73
Os09g0295200	72
Os01g0224300	72
Os11g0670900	72
Os03g0776900	72
Os12g0478200	71
Os02g0181900	71
Os08g0444440	71
Os10g0340301	70
Os06g0159900	70
Os10g0159033	70
Os03g0723400	70
Os07g0620700	70
Os03g0140650	70
Os12g0548700	69
Os02g0190100	69
Os09g0437951	69
Os10g0462900	68
Os01g0124401	68
Os03g0113700	68
Os05g0540300	68
Os12g0569200	68
Os05g0457000	68
Os02g0537000	67
Os01g0822900	67
Os06g0356800	67
Os03g0286900	66
Os03g0826900	66
Os11g0454200	66
Os03g0803066	66
Os07g0418600	65
Os03g0131800	65
Os11g0303800	65
Os03g0719400	65
Os10g0373400	65
Os08g0387050	64
Os11g0451700	64
Os06g0150400	64
Os08g0506000	64
Os02g0649300	64
Os10g0329400	64
Os07g0296000	64
Os03g0822400	63
Os06g0681200	63
Os02g0719700	63
Os03g0293000	63
Os07g0629500	63
Os04g0136700	63
