initial_alias,converted_alias,name,description,namespace
KANK1,ENSG00000107104,KANK1,KN motif and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:19309],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PYM1,ENSG00000170473,PYM1,"PYM homolog 1, exon junction complex associated factor [Source:HGNC Symbol;Acc:HGNC:30258]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SNN,ENSG00000184602,SNN,stannin [Source:HGNC Symbol;Acc:HGNC:11149],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HMGXB4,ENSG00000100281,HMGXB4,HMG-box containing 4 [Source:HGNC Symbol;Acc:HGNC:5003],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
NAGS,ENSG00000161653,NAGS,N-acetylglutamate synthase [Source:HGNC Symbol;Acc:HGNC:17996],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HOXC4,ENSG00000198353,HOXC4,homeobox C4 [Source:HGNC Symbol;Acc:HGNC:5126],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SIN3A,ENSG00000169375,SIN3A,SIN3 transcription regulator family member A [Source:HGNC Symbol;Acc:HGNC:19353],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SPSB2,ENSG00000111671,SPSB2,splA/ryanodine receptor domain and SOCS box containing 2 [Source:HGNC Symbol;Acc:HGNC:29522],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TOE1,ENSG00000132773,TOE1,"target of EGR1, exonuclease [Source:HGNC Symbol;Acc:HGNC:15954]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HCST,ENSG00000126264,HCST,hematopoietic cell signal transducer [Source:HGNC Symbol;Acc:HGNC:16977],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MTERF3,ENSG00000156469,MTERF3,mitochondrial transcription termination factor 3 [Source:HGNC Symbol;Acc:HGNC:24258],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
AMER1,ENSG00000184675,AMER1,APC membrane recruitment protein 1 [Source:HGNC Symbol;Acc:HGNC:26837],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PAQR5,ENSG00000137819,PAQR5,progestin and adipoQ receptor family member 5 [Source:HGNC Symbol;Acc:HGNC:29645],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TAS2R20,ENSG00000255837,TAS2R20,taste 2 receptor member 20 [Source:HGNC Symbol;Acc:HGNC:19109],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
RPUSD2,ENSG00000166133,RPUSD2,RNA pseudouridine synthase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24180],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
