GeneName,HN5
KANK1,-14
PYM1,-14
SNN,-14
HMGXB4,-14
NAGS,-14
HOXC4,-14
SIN3A,-14
SPSB2,-14
TOE1,-14
HCST,-14
MTERF3,-14
AMER1,-14
PAQR5,-14
TAS2R20,-14
RPUSD2,-14
GPR183,-14
SYNDIG1,-14
PPP1R35,-14
H3C7,-14
PALB2,-14
LEO1,-14
PATZ1,-14
PET117,-15
TP53INP1,-15
PRSS36,-15
ETAA1,-15
ZBTB24,-15
CCDC188,-15
ADGRF1,-15
RASSF7,-15
FGD3,-15
S100A1,-15
FADD,-15
GPR146,-15
DDX58,-15
CLPX,-15
TRIM21,-15
RDH14,-15
C16orf71,-15
PYCR3,-15
MBD4,-15
CRYBG2,-15
KDM4D,-15
TEX38,-15
SYCE1L,-15
TIGD5,-15
TMEM18,-15
KBTBD3,-15
CENPC,-15
BEGAIN,-15
IL2RG,-15
ZNF627,-15
BMF,-15
JMJD4,-15
ESPL1,-15
INMT-MINDY4,-15
TIFA,-15
RTP3,-16
SYT12,-16
GPR1,-16
TAB1,-16
C1GALT1C1L,-16
TBCEL-TECTA,-16
TMEM86A,-16
PPP1R3D,-16
ST3GAL1,-16
CCR1,-16
H3C1,-16
CBY2,-16
PPRC1,-16
ZNF775,-16
MAMSTR,-16
POLA2,-16
ZBTB45,-16
GLCE,-16
SH3TC1,-16
SOWAHD,-16
PPARGC1B,-16
CEMP1,-16
APOM,-16
CCNF,-17
NOTCH2NLC,-17
DOLK,-17
PSCA,-17
TMEM89,-17
PRR15L,-17
PCSK9,-17
INSYN2B,-17
RFESD,-17
ZNF564,-17
LCMT2,-17
WNT5B,-17
PLK4,-17
IFIT5,-18
ALDH1B1,-18
PLPP6,-18
ASB13,-18
HJURP,-18
SSPN,-18
GPR68,-18
AGFG2,-18
IMP3,-18
FLI1,-18
KLHDC7A,-18
TNS4,-18
NAT2,-18
ZNF579,-18
ACCS,-19
PCED1B,-19
RGS4,-19
GGACT,-19
SPATA2L,-19
CDCA8,-19
C14orf39,-19
NDST2,-19
PTPRCAP,-19
CDCA4,-19
TRAV18,-19
C14orf28,-19
NANP,-19
NUDT8,-20
SPOUT1,-20
BDKRB2,-20
MAP10,-20
EFNA4,-20
PRMT6,-20
PEDS1-UBE2V1,-20
VPS33B,-20
H2AC21,-20
FASTKD2,-20
IER3,-20
ADPRS,-20
D2HGDH,-21
DHX35,-21
GPR3,-21
TADA1,-21
MUSTN1,-21
CRY2,-21
DGAT2,-21
SH3BP4,-21
TMEM177,-21
HYAL2,-22
NPIPA7,-22
H1-4,-22
HYLS1,-22
LENG9,-22
NGF,-22
HILPDA,-22
ARHGAP40,-22
ARHGAP22,-22
UFSP1,-22
ZNF624,-22
ZHX2,-23
KCNQ5,-23
FJX1,-23
GLI2,-23
METTL1,-23
PLAU,-23
CCRL2,-23
EML1,-23
INKA1,-23
HAS2,-24
LIF,-24
TUBGCP5,-24
CAMKK1,-24
ZBED5,-24
KRTAP2-3,-25
LFNG,-25
DDX28,-25
APOL3,-26
GIMAP2,-26
PIF1,-26
TTC30B,-26
RSC1A1,-26
PWP2,-26
CITED4,-26
TREX2,-26
CSNK2A3,-26
S1PR5,-27
ZNF792,-27
TREX1,-28
IL1B,-28
HOXC5,-29
LIPT2,-29
MIEF2,-30
H1-2,-31
CCDC71,-31
IFIT3,-31
SAPCD1,-32
CLDND2,-32
STARD6,-33
HPS6,-36
N4BP1,-41
ZNF784,-42
TSSK3,-43
HRCT1,-52
H1-3,-71
