GENEID	HN-score(HN5)
EPlORYSAT000373610	-4
EPlORYSAT000373621	0
EPlORYSAT000373643	17
EPlORYSAT000373795	-9
EPlORYSAT000373851	-8
EPlORYSAT000373871	10
gene-3-prime-rps12	-1
gene-atp1	10
gene-atp6	23
gene-atp9	25
gene-atpA	-9
gene-atpF	11
gene-atpH	-3
gene-atpI	11
gene-ccmB	19
gene-ccmC	20
gene-ccmFc	19
gene-ccmFn	15
gene-cob	9
gene-cox1	14
gene-cox2	26
gene-cox3	10
gene-infA	-11
gene-mat-r	7
gene-nad1	21
gene-nad2	17
gene-nad3	25
gene-nad4	11
gene-nad4L	19
gene-nad5	9
gene-nad6	7
gene-nad7	10
gene-nad9	9
gene-ndhA	-24
gene-ndhB-2	0
gene-ndhD	-2
gene-ndhE	-21
gene-ndhF	-3
gene-ndhG	-15
gene-orf152a	14
gene-orf152b	10
gene-orf153	1
gene-orf160	8
gene-orf161	11
gene-orf162	10
gene-orf165	10
gene-orf173	1
gene-orf176	7
gene-orf181	20
gene-orf183	23
gene-orf187	28
gene-orf194	2
gene-orf224	40
gene-orf241	16
gene-orf25	17
gene-orf258	-11
gene-orf284	25
gene-orf288	7
gene-orf490	6
gene-orfB	28
gene-orfX	13
gene-petA	7
gene-petB	0
gene-petD	0
gene-petE	-2
gene-psaA	9
gene-psaB	4
gene-psaC	3
gene-psbA	6
gene-psbB	11
gene-psbC	13
gene-psbD	11
gene-psbH	10
gene-psbI	9
gene-psbK	2
gene-psbL	15
gene-psbM	10
gene-psbN	8
gene-rp12	9
gene-rpl14	3
gene-rpl16	0
gene-rpl2-2	7
gene-rpl20	-10
gene-rpl22	20
gene-rpl23-2	8
gene-rpl33	-7
gene-rpl36	-11
gene-rpl5	5
gene-rpoA	4
gene-rpoB	10
gene-rpoC1	6
gene-rpoC2	0
gene-rps1	20
gene-rps11	1
gene-rps12	4
gene-rps12-2	0
gene-rps13	11
gene-rps14	0
gene-rps15-2	-15
gene-rps16	-3
gene-rps18	1
gene-rps19	4
gene-rps19-2	10
gene-rps2	-4
gene-rps2-2	18
gene-rps3	11
gene-rps3-2	0
gene-rps4	16
gene-rps7-2	9
gene-rps7-3	20
gene-rps8	-4
Os01g0100100	-5
Os01g0100200	-3
Os01g0100300	5
Os01g0100400	6
Os01g0100466	0
Os01g0100500	4
Os01g0100600	-2
Os01g0100650	-6
Os01g0100700	1
Os01g0100800	14
Os01g0100900	-2
Os01g0101150	6
Os01g0101175	6
Os01g0101200	-13
Os01g0101300	-5
Os01g0101600	2
Os01g0101700	8
Os01g0101800	-19
Os01g0101850	1
Os01g0101900	-4
Os01g0102000	-26
Os01g0102300	-3
Os01g0102400	13
Os01g0102500	3
Os01g0102600	-5
Os01g0102700	-4
Os01g0102800	10
Os01g0102850	16
Os01g0102900	0
Os01g0103000	-9
Os01g0103050	1
Os01g0103075	-12
Os01g0103100	-5
Os01g0103400	-14
Os01g0103600	2
Os01g0103650	3
Os01g0103700	9
Os01g0103800	-5
Os01g0103900	7
Os01g0104000	-1
Os01g0104100	-2
Os01g0104200	6
Os01g0104350	2
Os01g0104400	1
Os01g0104500	2
Os01g0104600	7
