Unique GOSlim GOA Accession(s)	GOSlim GOA Description
GO:0016787	hydrolase activity
GO:0005886	plasma membrane
GO:0005515	protein binding
GO:0005488	binding
GO:0008150	biological_process
GO:0006950	response to stress
GO:0009628	response to abiotic stimulus
GO:0009987	cellular process
GO:0000166	nucleotide binding
GO:0005575	cellular_component
GO:0003674	molecular_function
GO:0005737	cytoplasm
GO:0005829	cytosol
GO:0016020	membrane
GO:0005622	intracellular anatomical structure
GO:0003824	catalytic activity
GO:0016043	cellular component organization
GO:0042221	response to chemical
GO:0009507	chloroplast
GO:0009536	plastid
GO:0005783	endoplasmic reticulum
GO:0036211	protein modification process
GO:0008152	metabolic process
GO:0019538	protein metabolic process
GO:0005634	nucleus
GO:0009058	biosynthetic process
GO:0006139	nucleobase-containing compound metabolic process
GO:0015979	photosynthesis
GO:0009056	catabolic process
GO:0009416	response to light stimulus
GO:0006091	generation of precursor metabolites and energy
GO:0009579	thylakoid
GO:0048856	anatomical structure development
GO:0007275	multicellular organism development
GO:0009791	post-embryonic development
GO:0000003	reproduction
GO:0016740	transferase activity
GO:0016301	kinase activity
GO:0005975	carbohydrate metabolic process
GO:0009607	response to biotic stimulus
GO:0009605	response to external stimulus
GO:0009719	response to endogenous stimulus
GO:0003677	DNA binding
GO:0003676	nucleic acid binding
GO:0003700	DNA-binding transcription factor activity
GO:0140110	transcription regulator activity
GO:0005777	peroxisome
GO:0005730	nucleolus
GO:0030246	carbohydrate binding
GO:0019725	cellular homeostasis
GO:0006810	transport
GO:0005773	vacuole
GO:0005215	transporter activity
GO:0007165	signal transduction
GO:0007154	cell communication
GO:0005739	mitochondrion
GO:0005198	structural molecule activity
GO:0006412	translation
GO:0065009	regulation of molecular function
GO:0030234	enzyme regulator activity
GO:0006629	lipid metabolic process
GO:0009790	embryo development
GO:0005576	extracellular region
GO:0008289	lipid binding
GO:0003723	RNA binding
GO:0009856	pollination
GO:0016049	cell growth
GO:0040007	growth
GO:0030154	cell differentiation
GO:0019748	secondary metabolic process
GO:0005840	ribosome
GO:0006259	DNA metabolic process
GO:0007049	cell cycle
GO:0005654	nucleoplasm
GO:0008219	cell death
GO:0005794	Golgi apparatus
GO:0009908	flower development
GO:0005856	cytoskeleton
GO:0045182	translation regulator activity
GO:0008135	translation factor activity, RNA binding
