GOSlim GOA Accession(s)	GOSlim GOA Description	counts
GO:0003824	catalytic activity	62834292
GO:0005634	nucleus	50586355
GO:0005886	plasma membrane	14121523
GO:0036211	protein modification process	11265607
GO:0016740	transferase activity	10856023
GO:0016787	hydrolase activity	8674587
GO:0005829	cytosol	7811118
GO:0048856	anatomical structure development	7216908
GO:0003677	DNA binding	5819761
GO:0003723	RNA binding	4482192
GO:0005576	extracellular region	3845282
GO:0140110	transcription regulator activity	2256826
GO:0005739	mitochondrion	1951236
GO:0005215	transporter activity	1929898
GO:0005783	endoplasmic reticulum	1919256
GO:0005794	Golgi apparatus	1563150
GO:0005654	nucleoplasm	1522420
GO:0006629	lipid metabolic process	1517670
GO:0030154	cell differentiation	1272360
GO:0005856	cytoskeleton	725760
GO:0005975	carbohydrate metabolic process	676139
GO:0005198	structural molecule activity	650310
GO:0005730	nucleolus	566826
GO:0005773	vacuole	422166
GO:0005768	endosome	342792
GO:0006091	generation of precursor metabolites and energy	265631
GO:0008289	lipid binding	257535
GO:0005840	ribosome	252420
GO:0030312	external encapsulating structure	203467
GO:0005635	nuclear envelope	50592
GO:0005764	lysosome	45237
GO:0045182	translation regulator activity	30420
GO:0005777	peroxisome	18172
GO:0003774	cytoskeletal motor activity	8960
