GOSlim GOA Accession(s)	GOSlim GOA Description	counts_up	counts_all	up_ratio	all_ratio	fold_enrichment
GO:0003824	catalytic activity	4136.0	62834292	0.2726074347482204	0.30507579154149667	0.8935728179898539
GO:0005634	nucleus	3550.0	50586355	0.23398365409965727	0.24560907430649728	0.9526669760078467
GO:0005886	plasma membrane	676.0	14121523	0.04455576061165305	0.0685634335944527	0.6498472768326752
GO:0036211	protein modification process	418.0	11265607	0.027550751384128658	0.054697265829309026	0.5036952207100239
GO:0016740	transferase activity	204.0	10856023	0.013445821249670446	0.05270863575128201	0.2550971213354428
GO:0016787	hydrolase activity	912.0	8674587	0.06011073029264435	0.042117232662072124	1.4272241192801807
GO:0005829	cytosol	1248.0	7811118	0.08225678882151331	0.03792488036109379	2.1689399686517814
GO:0048856	anatomical structure development	819.0	7216908	0.053981017664118114	0.03503984608567181	1.540560924044457
GO:0003677	DNA binding	546.0	5819761	0.035987345109412074	0.028256357112408176	1.2736017231891863
GO:0003723	RNA binding	170.0	4482192	0.011204851041392037	0.021762133839925563	0.5148783259863622
GO:0005576	extracellular region	600.0	3845282	0.039546533087266016	0.01866978066451786	2.1182109098059554
GO:0140110	transcription regulator activity	396.0	2256826	0.02610071183759557	0.010957439901151902	2.382008212963297
GO:0005739	mitochondrion	280.0	1951236	0.018455048774057473	0.009473726021839535	1.9480243287080001
GO:0005215	transporter activity	80.0	1929898	0.005272871078302136	0.009370124834769386	0.5627322123539147
GO:0005783	endoplasmic reticulum	588.0	1919256	0.038755602425520695	0.009318455332810414	4.159015742562146
GO:0005794	Golgi apparatus	39.0	1563150	0.002570524650672291	0.007589473969852171	0.3386960230555162
GO:0005654	nucleoplasm	80.0	1522420	0.005272871078302136	0.007391719899678433	0.7133483343344118
GO:0006629	lipid metabolic process	102.0	1517670	0.006722910624835223	0.007368657492771356	0.9123657371007392
GO:0030154	cell differentiation	49.0	1272360	0.003229633535460058	0.006177617695218698	0.5227959538447488
GO:0005856	cytoskeleton	30.0	725760	0.0019773266543633007	0.0035237415656590295	0.5611440616512665
GO:0005975	carbohydrate metabolic process	84.0	676139	0.005536514632217242	0.003282819524998802	1.6865120333470853
GO:0005198	structural molecule activity	12.0	650310	0.0007909306617453203	0.003157413439103455	0.25049955509466143
GO:0005730	nucleolus	13.0	566826	0.000856841550224097	0.0027520782857917837	0.3113434507469254
GO:0005773	vacuole	32.0	422166	0.0021091484313208544	0.002049718752491195	1.0289940650430356
GO:0005768	endosome	0.0	342792	0.0	0.001664338650208595	0.0
GO:0006091	generation of precursor metabolites and energy	55.0	265631	0.003625098866332718	0.0012897032019229134	2.810800857846822
GO:0008289	lipid binding	49.0	257535	0.003229633535460058	0.001250395150066135	2.58289032494187
GO:0005840	ribosome	1.0	252420	6.59108884787767e-05	0.0012255605792598824	0.05378019625809144
GO:0030312	external encapsulating structure	0.0	203467	0.0	0.0009878818412973238	0.0
GO:0005635	nuclear envelope	0.0	50592	0.0	0.00024563648215639	0.0
GO:0005764	lysosome	0.0	45237	0.0	0.00021963665289588503	0.0
GO:0045182	translation regulator activity	1.0	30420	6.59108884787767e-05	0.00014769650907648214	0.446258946070593
GO:0005777	peroxisome	2.0	18172	0.0001318217769575534	8.82294859611385e-05	1.49407848772479
GO:0003774	cytoskeletal motor activity	0.0	8960	0.0	4.350298229208678e-05	0.0
