GOSlim GOA Accession(s)	GOSlim GOA Description	counts_up	counts_all	up_ratio	all_ratio	fold_enrichment
GO:0043226	organelle	373.0	56768	0.07693894389438943	0.09764001093909368	0.7879858180514006
GO:0005634	nucleus	221.0	32321	0.04558580858085808	0.055591579649845804	0.8200128305039903
GO:0003824	catalytic activity	148.0	27759	0.03052805280528053	0.04774501591844527	0.6393976882828237
GO:0023052	signaling	219.0	21244	0.04517326732673267	0.03653932483776258	1.2362917904834165
GO:0005886	plasma membrane	154.0	19067	0.03176567656765677	0.03279492123336561	0.9686157299057122
GO:0005829	cytosol	123.0	18510	0.025371287128712873	0.0318368905454239	0.796914733004905
GO:0005654	nucleoplasm	136.0	16444	0.028052805280528052	0.02828340508530257	0.991846816036505
GO:0048856	anatomical structure development	160.0	14715	0.033003300330033	0.025309553991135207	1.3039858522039767
GO:0006351	DNA-templated transcription	142.0	12942	0.02929042904290429	0.02226002363257029	1.3158309948982845
GO:0036211	protein modification process	88.0	12775	0.018151815181518153	0.021972786424515955	0.8261043834324724
GO:0006355	regulation of DNA-templated transcription	140.0	12326	0.028877887788778877	0.02120051393100459	1.3621314975080179
GO:0005576	extracellular region	175.0	12225	0.0360973597359736	0.021026795619546578	1.716731374057651
GO:0016787	hydrolase activity	60.0	11509	0.012376237623762377	0.019795287589804627	0.625211306863591
GO:0140096	catalytic activity, acting on a protein	51.0	11048	0.01051980198019802	0.019002375296912115	0.5536045792079208
GO:0016740	transferase activity	62.0	10983	0.01278877887788779	0.018890576383597552	0.6769925182903431
GO:0030154	cell differentiation	95.0	10821	0.019595709570957097	0.018611939091952027	1.0528569577917037
GO:0003677	DNA binding	100.0	9223	0.020627062706270627	0.01586340580769555	1.3002921917476362
GO:0002376	immune system process	94.0	8853	0.019389438943894388	0.015227011993443423	1.2733580923324457
GO:0005615	extracellular space	138.0	8732	0.028465346534653466	0.01501889401635016	1.8953024439525952
GO:0005856	cytoskeleton	61.0	8683	0.012582508250825082	0.014934614835543798	0.8425063779267481
GO:0031410	cytoplasmic vesicle	64.0	8020	0.013201320132013201	0.01379426591973526	0.9570150531262602
GO:0003723	RNA binding	37.0	7930	0.007632013201320132	0.013639467424376635	0.5595536074729793
GO:0098772	molecular function regulator activity	101.0	7469	0.020833333333333332	0.012846555131484121	1.6217058285357255
GO:0065003	protein-containing complex assembly	53.0	7171	0.010932343234323433	0.012334000113518897	0.8863582887712841
GO:0005783	endoplasmic reticulum	48.0	7018	0.009900990099009901	0.012070842671409234	0.8202401744876682
GO:0055085	transmembrane transport	71.0	6441	0.014645214521452146	0.01107841231783227	1.3219596907292035
GO:0012501	programmed cell death	74.0	6011	0.015264026402640265	0.010338819506674396	1.4763800057430465
GO:0005694	chromosome	48.0	5982	0.009900990099009901	0.010288939991503283	0.9622944741816207
GO:0140110	transcription regulator activity	90.0	5927	0.018564356435643563	0.010194340911006345	1.8210452836240263
GO:0005794	Golgi apparatus	35.0	5910	0.007219471947194719	0.010165101195216382	0.7102213552573531
GO:0005739	mitochondrion	54.0	5876	0.011138613861386138	0.010106621763636458	1.1021104897249425
GO:0005215	transporter activity	52.0	5587	0.010726072607260726	0.009609546595207094	1.1161892500329325
GO:0016192	vesicle-mediated transport	28.0	5292	0.005775577557755775	0.009102151527087156	0.6345288298671137
GO:0060089	molecular transducer activity	40.0	5185	0.00825082508250825	0.008918113315938569	0.9251760759489642
GO:0005730	nucleolus	44.0	5043	0.009075907590759076	0.008673875689928294	1.046349742053325
GO:0007155	cell adhesion	54.0	4858	0.011138613861386138	0.008355678782802231	1.3330591267237057
GO:0007010	cytoskeleton organization	26.0	4832	0.005363036303630363	0.008310959217476406	0.645296910175289
GO:0006629	lipid metabolic process	56.0	4614	0.01155115511551155	0.00793600286205218	1.455538174103496
GO:0016071	mRNA metabolic process	8.0	4292	0.0016501650165016502	0.007382168245324655	0.22353392142569337
GO:0048870	cell motility	52.0	4270	0.010726072607260726	0.007344328613125881	1.4604565198908648
GO:0008092	cytoskeletal protein binding	20.0	4141	0.004125412541254125	0.007122450769778518	0.5792125034768629
GO:1901135	carbohydrate derivative metabolic process	31.0	3940	0.006394389438943895	0.006776734130144255	0.9435798005561977
GO:0005768	endosome	24.0	3726	0.0049504950495049506	0.0064086577078470795	0.7724698798382255
GO:0098542	defense response to other organism	34.0	3405	0.007013201320132013	0.005856543074401317	1.1974984612998745
GO:0022414	reproductive process	37.0	3368	0.007632013201320132	0.005792903692976104	1.317476278877888
GO:0050877	nervous system process	22.0	3364	0.004537953795379538	0.005786023759849054	0.7842957415539414
GO:0030163	protein catabolic process	16.0	3291	0.0033003300330033004	0.005660464980280392	0.5830492803154518
GO:0016491	oxidoreductase activity	21.0	3216	0.004331683168316832	0.005531466234148204	0.7830985465617458
GO:0006886	intracellular protein transport	35.0	3167	0.007219471947194719	0.005447187053341841	1.325357817988935
GO:0140657	ATP-dependent activity	36.0	3052	0.007425742574257425	0.005249388975939154	1.4145917950248497
GO:0005815	microtubule organizing center	13.0	2999	0.0026815181518151814	0.005158229862005741	0.5198523957930972
GO:0005198	structural molecule activity	19.0	2978	0.003919141914191419	0.005122110213088729	0.7651420510586988
GO:0008289	lipid binding	41.0	2938	0.008457095709570957	0.005053310881818229	1.6735751881008387
GO:0005773	vacuole	19.0	2866	0.003919141914191419	0.004929472085531328	0.7950429267455705
GO:0006325	chromatin organization	11.0	2853	0.002268976897689769	0.004907112302868416	0.4623853618274551
GO:0006281	DNA repair	2.0	2755	0.00041254125412541255	0.004738553941255691	0.0870605799236911
GO:0000278	mitotic cell cycle	15.0	2750	0.003094059405940594	0.004729954024846879	0.6541415391539154
GO:0005764	lysosome	19.0	2573	0.003919141914191419	0.0044255169839749154	0.8855783241557735
GO:0055086	nucleobase-containing small molecule metabolic process	5.0	2508	0.0010313531353135313	0.004313718070660353	0.23908681986619715
GO:0061024	membrane organization	11.0	2292	0.002268976897689769	0.0039422016817996525	0.5755608365155889
GO:0006954	inflammatory response	28.0	2239	0.005775577557755775	0.0038510425678662404	1.499743889082968
GO:0005929	cilium	22.0	2175	0.004537953795379538	0.00374096363783344	1.2130440802700961
GO:0005975	carbohydrate metabolic process	7.0	2017	0.0014438943894389438	0.003469206279314965	0.416203094652549
GO:0034330	cell junction organization	12.0	2008	0.0024752475247524753	0.0034537264297791023	0.7166889373200269
GO:0060090	molecular adaptor activity	16.0	1860	0.0033003300330033004	0.0031991689040782524	1.0316210653323397
GO:0140098	catalytic activity, acting on RNA	5.0	1827	0.0010313531353135313	0.00314240945578009	0.32820456717264496
GO:0005635	nuclear envelope	11.0	1826	0.002268976897689769	0.0031406894724983273	0.7224454749691838
