GOSlim GOA Accession(s)	GOSlim GOA Description	Count
GO:0000003	reproduction	677
GO:0000166	nucleotide binding	4163
GO:0003674	molecular_function	22786
GO:0003676	nucleic acid binding	4428
GO:0003677	DNA binding	2486
GO:0003682	chromatin binding	176
GO:0003700	DNA-binding transcription factor activity	1245
GO:0003723	RNA binding	1552
GO:0003774	cytoskeletal motor activity	84
GO:0003824	catalytic activity	12023
GO:0004518	nuclease activity	283
GO:0005102	signaling receptor binding	47
GO:0005198	structural molecule activity	599
GO:0005215	transporter activity	1720
GO:0005488	binding	15214
GO:0005515	protein binding	5216
GO:0005575	cellular_component	20356
GO:0005576	extracellular region	848
GO:0005618	cell wall	365
GO:0005622	intracellular anatomical structure	13043
GO:0005634	nucleus	5273
GO:0005635	nuclear envelope	111
GO:0005654	nucleoplasm	374
GO:0005730	nucleolus	282
GO:0005737	cytoplasm	8358
GO:0005739	mitochondrion	1184
GO:0005764	lysosome	53
GO:0005768	endosome	326
GO:0005773	vacuole	469
GO:0005777	peroxisome	144
GO:0005783	endoplasmic reticulum	986
GO:0005794	Golgi apparatus	994
GO:0005829	cytosol	1465
GO:0005840	ribosome	474
GO:0005856	cytoskeleton	316
GO:0005886	plasma membrane	2276
GO:0005975	carbohydrate metabolic process	1397
GO:0006091	generation of precursor metabolites and energy	609
GO:0006139	nucleobase-containing compound metabolic process	5032
GO:0006259	DNA metabolic process	596
GO:0006412	translation	923
GO:0006629	lipid metabolic process	1165
GO:0006810	transport	3109
GO:0006950	response to stress	2549
GO:0007049	cell cycle	565
GO:0007154	cell communication	1730
GO:0007165	signal transduction	1640
GO:0007267	cell-cell signaling	13
GO:0007275	multicellular organism development	1070
GO:0007623	circadian rhythm	49
GO:0008135	translation factor activity, RNA binding	187
GO:0008150	biological_process	20063
GO:0008152	metabolic process	14120
GO:0008219	cell death	72
GO:0008289	lipid binding	357
GO:0009056	catabolic process	2146
GO:0009058	biosynthetic process	5686
GO:0009416	response to light stimulus	322
GO:0009507	chloroplast	1548
GO:0009536	plastid	1628
GO:0009579	thylakoid	397
GO:0009605	response to external stimulus	853
GO:0009606	tropism	62
GO:0009607	response to biotic stimulus	694
GO:0009628	response to abiotic stimulus	911
GO:0009719	response to endogenous stimulus	867
GO:0009790	embryo development	110
GO:0009791	post-embryonic development	587
GO:0009835	fruit ripening	2
GO:0009838	abscission	10
GO:0009856	pollination	54
GO:0009908	flower development	237
GO:0009987	cellular process	16446
GO:0015979	photosynthesis	249
GO:0016020	membrane	9552
GO:0016043	cellular component organization	2574
GO:0016049	cell growth	95
GO:0016301	kinase activity	2058
GO:0016740	transferase activity	5028
GO:0016787	hydrolase activity	3869
GO:0019538	protein metabolic process	5379
GO:0019725	cellular homeostasis	310
GO:0019748	secondary metabolic process	276
GO:0019825	oxygen binding	6
GO:0030154	cell differentiation	308
GO:0030234	enzyme regulator activity	494
GO:0030246	carbohydrate binding	413
GO:0030312	external encapsulating structure	373
GO:0036211	protein modification process	3538
GO:0038023	signaling receptor activity	380
GO:0040007	growth	202
GO:0040029	epigenetic regulation of gene expression	59
GO:0042221	response to chemical	1726
GO:0045182	translation regulator activity	205
GO:0048856	anatomical structure development	1282
GO:0065009	regulation of molecular function	601
GO:0140110	transcription regulator activity	1391
