GOSlim GOA Accession(s)	GOSlim GOA Description	counts_up	counts_all	up_ratio	all_ratio	fold_enrichment
GO:0003674	molecular_function	243.0	22786	0.082793867120954	0.08812313880187184	0.9395247178734782
GO:0005575	cellular_component	231.0	20356	0.07870528109028961	0.07872529682484433	0.9997457521868828
GO:0008150	biological_process	232.0	20063	0.07904599659284497	0.07759214139304638	1.0187371449440226
GO:0009987	cellular process	183.0	16446	0.062350936967632026	0.06360366631859844	0.9803041330244809
GO:0005488	binding	181.0	15214	0.06166950596252129	0.05883899911049233	1.0481059653430478
GO:0008152	metabolic process	127.0	14120	0.043270868824531517	0.054608036508489	0.7923901240764245
GO:0005622	intracellular anatomical structure	175.0	13043	0.059625212947189095	0.05044282012607804	1.1820356752092835
GO:0003824	catalytic activity	107.0	12023	0.03645655877342419	0.04649804695053564	0.7840449473545948
GO:0016020	membrane	82.0	9552	0.027938671209540033	0.03694164056155006	0.7562921078989496
GO:0005737	cytoplasm	134.0	8358	0.04565587734241908	0.03232393549135631	1.4124479785151112
GO:0009058	biosynthetic process	45.0	5686	0.015332197614991482	0.021990176741307963	0.6972293945318937
GO:0019538	protein metabolic process	42.0	5379	0.014310051107325384	0.020802877363963336	0.6878880674514082
GO:0005634	nucleus	60.0	5273	0.020442930153321975	0.020392930347681477	1.0024518205470252
GO:0005515	protein binding	81.0	5216	0.02759795570698467	0.020172487140812934	1.3680988127214389
GO:0006139	nucleobase-containing compound metabolic process	48.0	5032	0.016354344122657582	0.01946088099934254	0.8403701827892629
GO:0016740	transferase activity	19.0	5028	0.006473594548551959	0.01944541130061492	0.33291116595447096
GO:0003676	nucleic acid binding	40.0	4428	0.013628620102214651	0.01712495649147233	0.7958338527167214
GO:0000166	nucleotide binding	51.0	4163	0.01737649063032368	0.016100088950767685	1.0792791694169575
GO:0016787	hydrolase activity	50.0	3869	0.017035775127768313	0.014963066094287814	1.138521678673314
GO:0036211	protein modification process	12.0	3538	0.0040885860306643955	0.013682948524577484	0.2988088439652043
GO:0006810	transport	23.0	3109	0.007836456558773424	0.01202382333604053	0.6517441532332082
GO:0016043	cellular component organization	36.0	2574	0.012265758091993186	0.009954751131221719	1.2321511537865883
GO:0006950	response to stress	84.0	2549	0.028620102214650767	0.009858065514174112	2.903216880989505
GO:0003677	DNA binding	26.0	2486	0.008858603066439524	0.00961441775921414	0.9213873672120948
