GOSlim GOA Accession(s)	GOSlim GOA Description	counts_up	counts_all	up_ratio	all_ratio	fold_enrichment
GO:0043226	organelle	128.0	18493	0.07411696583671105	0.0953601336578524	0.7772321933045856
GO:0005634	nucleus	71.0	11009	0.04111175448755067	0.056768491398869685	0.7242002292907371
GO:0023052	signaling	68.0	7321	0.03937463810075275	0.03775112412854255	1.0430057120069363
GO:0005886	plasma membrane	52.0	6799	0.030110017371163866	0.03505940348995504	0.8588285701948912
GO:0003824	catalytic activity	47.0	6372	0.02721482339316734	0.032857555381378654	0.8282668347442179
GO:0048856	anatomical structure development	63.0	6243	0.03647944412275622	0.03219236005115301	1.1331708537302367
GO:0005829	cytosol	48.0	5922	0.027793862188766647	0.030537106555010105	0.9101668535196114
GO:0005576	extracellular region	60.0	4886	0.03474232773595831	0.025194917701414958	1.378941902001417
GO:0005654	nucleoplasm	40.0	4670	0.023161551823972205	0.024081102264758056	0.9618144372846428
GO:0030154	cell differentiation	49.0	4610	0.028372900984365953	0.023771709087908915	1.193557471170525
GO:0006351	DNA-templated transcription	41.0	3910	0.02374059061957151	0.02016212202466895	1.1774847206322927
GO:0006355	regulation of DNA-templated transcription	40.0	3761	0.023161551823972205	0.019393795635493587	1.1942763685507263
GO:0036211	protein modification process	38.0	3739	0.022003474232773594	0.0192803514706489	1.141238232418646
GO:0065003	protein-containing complex assembly	17.0	3695	0.009843659525188187	0.019053463140959532	0.5166336141815141
GO:0005615	extracellular space	46.0	3683	0.026635784597568036	0.018991584505589704	1.4025045982723796
GO:0002376	immune system process	42.0	3654	0.024319629415170817	0.018842044470112618	1.2907107534825524
GO:0003723	RNA binding	17.0	3432	0.009843659525188187	0.0176972897157708	0.5562241271563796
GO:0031410	cytoplasmic vesicle	26.0	2832	0.015055008685581933	0.014603357947279403	1.0309278687773775
GO:0003677	DNA binding	26.0	2731	0.015055008685581933	0.01408254609958335	1.0690544578460393
GO:0016787	hydrolase activity	24.0	2727	0.013896931094383324	0.014061919887793407	0.9882669795641985
GO:0016740	transferase activity	12.0	2599	0.006948465547191662	0.013401881110515242	0.5184694215605173
GO:0005856	cytoskeleton	30.0	2592	0.017371163867979156	0.013365785239882843	1.2996740226039591
GO:0140096	catalytic activity, acting on a protein	17.0	2588	0.009843659525188187	0.0133451590280929	0.7376202489956317
GO:0016071	mRNA metabolic process	5.0	2403	0.0028951939779965257	0.012391196732808052	0.23364926249059936
GO:0098772	molecular function regulator activity	38.0	2345	0.022003474232773594	0.012092116661853884	1.8196544780440587
GO:0005783	endoplasmic reticulum	21.0	2274	0.012159814707585408	0.011726001402582401	1.0369958428375652
GO:0005730	nucleolus	13.0	2197	0.007527504342790967	0.011328946825626006	0.664448731082734
GO:0012501	programmed cell death	26.0	2179	0.015055008685581933	0.011236128872571263	1.339875045606945
GO:0005694	chromosome	21.0	2027	0.012159814707585408	0.010452332824553443	1.1633589277812644
GO:0060089	molecular transducer activity	11.0	1978	0.006369426751592357	0.010199661730126645	0.6244743129842277
GO:0140110	transcription regulator activity	22.0	1859	0.012738853503184714	0.00958603192937585	1.3288974621654681
GO:0005794	Golgi apparatus	13.0	1839	0.007527504342790967	0.009482900870426138	0.7937976412119448
GO:0005739	mitochondrion	20.0	1827	0.011580775911986103	0.009421022235056309	1.22924833665005
GO:0048870	cell motility	22.0	1791	0.012738853503184714	0.009235386328946826	1.3793525305223926
GO:0007155	cell adhesion	20.0	1749	0.011580775911986103	0.009018811105152428	1.2840690171867586
GO:0050877	nervous system process	12.0	1735	0.006948465547191662	0.008946619363887628	0.7766582286085214
GO:0055085	transmembrane transport	15.0	1701	0.008685581933989578	0.008771296563673116	0.9902278267458734
GO:0016192	vesicle-mediated transport	12.0	1694	0.006948465547191662	0.008735200693040715	0.7954557418156935
GO:0007010	cytoskeleton organization	15.0	1595	0.008685581933989578	0.008224701951239635	1.0560360710311794
GO:0022414	reproductive process	26.0	1582	0.015055008685581933	0.008157666762922322	1.8455042505546986
GO:0006629	lipid metabolic process	17.0	1533	0.009843659525188187	0.007904995668495524	1.2452454040448107
GO:0098542	defense response to other organism	17.0	1433	0.009843659525188187	0.007389340373746957	1.3321431991630808
GO:0005215	transporter activity	8.0	1361	0.004632310364794441	0.00701806856152799	0.6600548746685204
GO:0005768	endosome	9.0	1242	0.0052113491603937466	0.006404438760777196	0.8137089532824786
GO:0005198	structural molecule activity	6.0	1227	0.003474232773595831	0.0063270904665649105	0.5491043303324306
GO:0006886	intracellular protein transport	12.0	1222	0.006948465547191662	0.006301307701827482	1.1027021494564522
GO:1901135	carbohydrate derivative metabolic process	7.0	1188	0.004053271569195136	0.00612598490161297	0.6616522296892882
GO:0030163	protein catabolic process	10.0	1154	0.005790387955993051	0.005950662101398457	0.9730661659703816
GO:0008092	cytoskeletal protein binding	11.0	1044	0.006369426751592357	0.005383441277175034	1.1831515240256731
GO:0005773	vacuole	4.0	991	0.0023161551823972205	0.005110143970958294	0.4532465612632978
GO:0000278	mitotic cell cycle	9.0	987	0.0052113491603937466	0.0050895177591683514	1.0239377102095628
GO:0006954	inflammatory response	12.0	920	0.006948465547191662	0.004744028711686812	1.4646761159084614
GO:0005815	microtubule organizing center	7.0	908	0.004053271569195136	0.0046821500763169835	0.8656859569062493
GO:0005764	lysosome	4.0	887	0.0023161551823972205	0.0045738624644197845	0.5063893373302459
GO:0008289	lipid binding	7.0	873	0.004053271569195136	0.004501670723154986	0.9003927249380004
GO:0061024	membrane organization	6.0	861	0.003474232773595831	0.004439792087785157	0.7825215021113732
GO:0006325	chromatin organization	6.0	861	0.003474232773595831	0.004439792087785157	0.7825215021113732
GO:0016491	oxidoreductase activity	9.0	823	0.0052113491603937466	0.004243843075780702	1.227978760603692
GO:0034330	cell junction organization	6.0	791	0.003474232773595831	0.004078833381461161	0.851771192563707
GO:0005929	cilium	9.0	768	0.0052113491603937466	0.003960232663668991	1.3159199478865085
GO:0055086	nucleobase-containing small molecule metabolic process	3.0	723	0.0017371163867979154	0.0037281877810321357	0.4659412263609214
GO:0031047	gene silencing by RNA	1.0	707	0.0005790387955993051	0.003645682933872365	0.15882862171567474
GO:0140657	ATP-dependent activity	8.0	660	0.004632310364794441	0.0034033249453405386	1.3611131582179643
GO:0006281	DNA repair	2.0	660	0.0011580775911986102	0.0034033249453405386	0.3402782895544911
GO:0060090	molecular adaptor activity	8.0	640	0.004632310364794441	0.0033001938863908256	1.4036479444122754
GO:0005975	carbohydrate metabolic process	7.0	613	0.004053271569195136	0.0031609669568087124	1.2822884973423725
GO:0003013	circulatory system process	10.0	609	0.005790387955993051	0.00314034074501877	1.8438725049750746
GO:0006914	autophagy	8.0	605	0.004632310364794441	0.0031197145332288274	1.4848507180559607
GO:0005840	ribosome	1.0	601	0.0005790387955993051	0.0030990883214388845	0.1868416564941465
GO:0007005	mitochondrion organization	7.0	594	0.004053271569195136	0.003062992450806485	1.3233044593785763
GO:0048018	receptor ligand activity	12.0	589	0.006948465547191662	0.0030372096860690565	2.2877793321490403
GO:0030312	external encapsulating structure	8.0	583	0.004632310364794441	0.0030062703683841428	1.5408828206241103
GO:0031012	extracellular matrix	8.0	582	0.004632310364794441	0.0030011138154366567	1.5435303856080007
GO:0005635	nuclear envelope	5.0	544	0.0028951939779965257	0.0028051648034322016	1.032094076773732
GO:0006091	generation of precursor metabolites and energy	5.0	541	0.0028951939779965257	0.0027896951445897447	1.0378173341310726
GO:0055065	metal ion homeostasis	0.0	532	0.0	0.0027432861680623736	0.0
GO:0140098	catalytic activity, acting on RNA	3.0	482	0.0017371163867979154	0.0024854585206880906	0.698911839541382
GO:0042060	wound healing	5.0	459	0.0028951939779965257	0.0023668578028959203	1.2232226095096081
GO:0007018	microtubule-based movement	11.0	439	0.006369426751592357	0.002263726743946207	2.8136906402797326
GO:0003012	muscle system process	7.0	433	0.004053271569195136	0.0022327874262612927	1.8153414523576776
GO:0044782	cilium organization	2.0	416	0.0011580775911986102	0.0021451260261540366	0.5398645940047213
GO:0007059	chromosome segregation	3.0	399	0.0017371163867979154	0.00205746462604678	0.8442995154359553
GO:0051604	protein maturation	5.0	362	0.0028951939779965257	0.0018666721669898106	1.5509922037704702
GO:0003924	GTPase activity	5.0	360	0.0028951939779965257	0.0018563590610948394	1.5596088271247506
GO:0042254	ribosome biogenesis	1.0	357	0.0005790387955993051	0.0018408894022523823	0.31454295673104216
GO:0006310	DNA recombination	4.0	356	0.0023161551823972205	0.0018357328493048967	1.2617060174492365
GO:0006913	nucleocytoplasmic transport	5.0	352	0.0028951939779965257	0.001815106637514954	1.5950544822866768
GO:0006790	sulfur compound metabolic process	2.0	352	0.0011580775911986102	0.001815106637514954	0.6380217929146708
GO:0030198	extracellular matrix organization	4.0	350	0.0023161551823972205	0.0018047935316199827	1.2833352634626518
GO:0140014	mitotic nuclear division	5.0	348	0.0028951939779965257	0.0017944804257250114	1.6133884418531903
GO:0006520	cellular amino acid metabolic process	3.0	332	0.0017371163867979154	0.0017119755785652408	1.014685261020922
GO:0072659	protein localization to plasma membrane	1.0	305	0.0005790387955993051	0.0015727486489831278	0.368169952632728
GO:0006260	DNA replication	2.0	303	0.0011580775911986102	0.0015624355430881565	0.7412002346731488
GO:0140097	catalytic activity, acting on DNA	0.0	264	0.0	0.0013613299781362156	0.0
GO:0042393	histone binding	1.0	249	0.0005790387955993051	0.0012839816839239305	0.4509712271204098
