GOSlim GOA Accession(s)	GOSlim GOA Description	counts_up	counts_all	up_ratio	all_ratio	fold_enrichment	p_value	q_value
GO:0043226	organelle	128	18493	0.07411696583671105	0.0953601336578524	0.7772321933045856	0.9992175102048437	1.0
GO:0005634	nucleus	71	11009	0.04111175448755067	0.056768491398869685	0.7242002292907371	0.9986666095198762	1.0
GO:0023052	signaling	68	7321	0.03937463810075275	0.03775112412854255	1.0430057120069363	0.3784100358339881	0.9435839797327279
GO:0005886	plasma membrane	52	6799	0.030110017371163866	0.03505940348995504	0.8588285701948912	0.8846524661693387	1.0
GO:0003824	catalytic activity	47	6372	0.02721482339316734	0.032857555381378654	0.8282668347442179	0.920878589030524	1.0
GO:0048856	anatomical structure development	63	6243	0.03647944412275622	0.03219236005115301	1.1331708537302367	0.17153141103513572	0.774566143042469
GO:0005829	cytosol	48	5922	0.027793862188766647	0.030537106555010105	0.9101668535196114	0.7660596704929028	1.0
GO:0005576	extracellular region	60	4886	0.03474232773595831	0.025194917701414958	1.378941902001417	0.009098360625198695	0.13849726729469122
GO:0005654	nucleoplasm	40	4670	0.023161551823972205	0.024081102264758056	0.9618144372846428	0.62060827331979	1.0
GO:0030154	cell differentiation	49	4610	0.028372900984365953	0.023771709087908915	1.193557471170525	0.12031759018985398	0.774566143042469
GO:0006351	DNA-templated transcription	41	3910	0.02374059061957151	0.02016212202466895	1.1774847206322927	0.16379098986796706	0.774566143042469
GO:0006355	regulation of DNA-templated transcription	40	3761	0.023161551823972205	0.019393795635493587	1.1942763685507263	0.14657720198254107	0.774566143042469
GO:0036211	protein modification process	38	3739	0.022003474232773594	0.0192803514706489	1.141238232418646	0.22615069869853105	0.774566143042469
GO:0065003	protein-containing complex assembly	17	3695	0.009843659525188187	0.019053463140959532	0.5166336141815141	0.9992445490286095	1.0
GO:0005615	extracellular space	46	3683	0.026635784597568036	0.018991584505589704	1.4025045982723796	0.01564283940916861	0.19482445445964544
GO:0002376	immune system process	42	3654	0.024319629415170817	0.018842044470112618	1.2907107534825524	0.059884054525957284	0.6310858053889344
GO:0003723	RNA binding	17	3432	0.009843659525188187	0.0176972897157708	0.5562241271563796	0.9973569017175681	1.0
GO:0031410	cytoplasmic vesicle	26	2832	0.015055008685581933	0.014603357947279403	1.0309278687773775	0.46476873430122734	1.0
GO:0003677	DNA binding	26	2731	0.015055008685581933	0.01408254609958335	1.0690544578460393	0.39258603536325176	0.9435839797327279
GO:0016787	hydrolase activity	24	2727	0.013896931094383324	0.014061919887793407	0.9882669795641985	0.551312501943432	1.0
GO:0016740	transferase activity	12	2599	0.006948465547191662	0.013401881110515242	0.5184694215605173	0.9962154190628846	1.0
GO:0005856	cytoskeleton	30	2592	0.017371163867979156	0.013365785239882843	1.2996740226039591	0.09209675481750877	0.7660685072982274
GO:0140096	catalytic activity, acting on a protein	17	2588	0.009843659525188187	0.0133451590280929	0.7376202489956317	0.9216515921519435	1.0
GO:0016071	mRNA metabolic process	5	2403	0.0028951939779965257	0.012391196732808052	0.23364926249059936	0.9999953712425427	1.0
GO:0098772	molecular function regulator activity	38	2345	0.022003474232773594	0.012092116661853884	1.8196544780440587	0.00041674925166658043	0.019031549159440504
GO:0005783	endoplasmic reticulum	21	2274	0.012159814707585408	0.011726001402582401	1.0369958428375652	0.4634017198284659	1.0
GO:0005730	nucleolus	13	2197	0.007527504342790967	0.011328946825626006	0.664448731082734	0.9542168047844287	1.0
GO:0012501	programmed cell death	26	2179	0.015055008685581933	0.011236128872571263	1.339875045606945	0.08546829217021866	0.7660685072982274
GO:0005694	chromosome	21	2027	0.012159814707585408	0.010452332824553443	1.1633589277812644	0.27184372165413045	0.8607214996544578
GO:0060089	molecular transducer activity	11	1978	0.006369426751592357	0.010199661730126645	0.6244743129842277	0.9646257165970352	1.0
GO:0140110	transcription regulator activity	22	1859	0.012738853503184714	0.00958603192937585	1.3288974621654681	0.11287293212555899	0.774566143042469
GO:0005794	Golgi apparatus	13	1839	0.007527504342790967	0.009482900870426138	0.7937976412119448	0.8330639319230484	1.0
