GOSlim GOA Accession(s)	GOSlim GOA Description	counts
GO:0003674	molecular_function	18866
GO:0005575	cellular_component	17584
GO:0008150	biological_process	16773
GO:0009987	cellular process	13761
GO:0005488	binding	12683
GO:0008152	metabolic process	11823
GO:0005622	intracellular anatomical structure	11315
GO:0003824	catalytic activity	9861
GO:0016020	membrane	8198
GO:0005737	cytoplasm	7291
GO:0009058	biosynthetic process	4772
GO:0005634	nucleus	4595
GO:0019538	protein metabolic process	4544
GO:0005515	protein binding	4472
GO:0006139	nucleobase-containing compound metabolic process	4265
GO:0016740	transferase activity	4177
GO:0003676	nucleic acid binding	3730
GO:0000166	nucleotide binding	3377
GO:0016787	hydrolase activity	3181
GO:0036211	protein modification process	3013
GO:0006810	transport	2564
GO:0006950	response to stress	2256
GO:0016043	cellular component organization	2253
GO:0003677	DNA binding	2131
GO:0005886	plasma membrane	2077
GO:0009056	catabolic process	1852
GO:0016301	kinase activity	1694
GO:0007154	cell communication	1495
GO:0042221	response to chemical	1489
GO:0009536	plastid	1428
GO:0005215	transporter activity	1418
GO:0007165	signal transduction	1417
GO:0009507	chloroplast	1360
GO:0005829	cytosol	1319
GO:0003723	RNA binding	1306
GO:0140110	transcription regulator activity	1214
GO:0048856	anatomical structure development	1156
GO:0005975	carbohydrate metabolic process	1103
GO:0003700	DNA-binding transcription factor activity	1088
GO:0005739	mitochondrion	1068
GO:0006629	lipid metabolic process	990
GO:0007275	multicellular organism development	967
GO:0005794	Golgi apparatus	850
GO:0005783	endoplasmic reticulum	844
GO:0009628	response to abiotic stimulus	800
GO:0005576	extracellular region	787
GO:0006412	translation	777
GO:0009605	response to external stimulus	758
GO:0009719	response to endogenous stimulus	745
GO:0009607	response to biotic stimulus	619
GO:0000003	reproduction	613
GO:0065009	regulation of molecular function	541
GO:0005198	structural molecule activity	530
GO:0009791	post-embryonic development	530
GO:0007049	cell cycle	510
GO:0006259	DNA metabolic process	496
GO:0006091	generation of precursor metabolites and energy	491
GO:0030234	enzyme regulator activity	448
GO:0005773	vacuole	426
GO:0005840	ribosome	420
GO:0030246	carbohydrate binding	375
GO:0030312	external encapsulating structure	349
GO:0005618	cell wall	341
GO:0038023	signaling receptor activity	340
GO:0009579	thylakoid	332
GO:0005654	nucleoplasm	326
GO:0008289	lipid binding	295
GO:0009416	response to light stimulus	284
GO:0005856	cytoskeleton	280
GO:0005768	endosome	276
GO:0030154	cell differentiation	276
GO:0019725	cellular homeostasis	263
GO:0005730	nucleolus	258
GO:0019748	secondary metabolic process	255
GO:0004518	nuclease activity	247
GO:0009908	flower development	207
GO:0015979	photosynthesis	200
GO:0040007	growth	185
GO:0045182	translation regulator activity	156
GO:0003682	chromatin binding	152
GO:0008135	translation factor activity, RNA binding	141
GO:0005777	peroxisome	118
GO:0009790	embryo development	101
GO:0005635	nuclear envelope	93
GO:0016049	cell growth	87
GO:0003774	cytoskeletal motor activity	70
GO:0008219	cell death	61
GO:0009606	tropism	57
GO:0040029	epigenetic regulation of gene expression	52
GO:0005764	lysosome	51
GO:0005102	signaling receptor binding	46
GO:0009856	pollination	46
GO:0007623	circadian rhythm	38
GO:0007267	cell-cell signaling	12
GO:0009838	abscission	10
GO:0019825	oxygen binding	6
GO:0009835	fruit ripening	2
