GOSlim GOA Accession(s)	GOSlim GOA Description	counts_up	counts_all	up_ratio	all_ratio	fold_enrichment	p_value	q_value
GO:0003674	molecular_function	204	18866	0.08072813612979818	0.08595027767780264	0.9392422957889627	0.8358156832192603	1.0
GO:0005575	cellular_component	203	17584	0.08033240997229917	0.08010970437222949	1.0027800077632902	0.4941313241717229	1.0
GO:0008150	biological_process	197	16773	0.0779580530273051	0.07641492671948391	1.0201940428927707	0.3952286097528667	1.0
GO:0009987	cellular process	153	13761	0.060546102097348634	0.06269276853197508	0.9657589466075088	0.6843937698731529	1.0
GO:0005488	binding	149	12683	0.05896319746735259	0.05778158442635274	1.0204496476296165	0.4110150203733195	1.0
GO:0008152	metabolic process	111	11823	0.043925603482390184	0.053863571132442514	0.815497423562646	0.9900711671948204	1.0
GO:0005622	intracellular anatomical structure	152	11315	0.06015037593984962	0.05154920979138857	1.1668535014070749	0.02946742323962898	0.2552854206233769
GO:0003824	catalytic activity	88	9861	0.03482390185991294	0.04492503382703338	0.7751558294644589	0.9953310316509137	1.0
GO:0016020	membrane	73	8198	0.02888800949742778	0.037348689515669775	0.7734678210143816	0.9914933455299415	1.0
GO:0005737	cytoplasm	118	7291	0.04669568658488326	0.03321655223941795	1.4057957083658332	0.0001869268071462873	0.0036263800586379736
GO:0009058	biosynthetic process	40	4772	0.015829046299960427	0.021740417951790214	0.7280930079201622	0.9862639904065067	1.0
GO:0005634	nucleus	50	4595	0.019786307874950535	0.02093403614595055	0.945174057071549	0.6765849601521351	1.0
GO:0019538	protein metabolic process	37	4544	0.014641867827463396	0.02070168884596285	0.707278905427022	0.9899283029336314	1.0
GO:0005515	protein binding	65	4472	0.025722200237435693	0.020373669128333157	1.2625217419313277	0.03620853617221855	0.2552854206233769
GO:0006139	nucleobase-containing compound metabolic process	41	4265	0.016224772457459437	0.01943061244014779	0.8350108627526117	0.8964152349108884	1.0
GO:0016740	transferase activity	17	4177	0.006727344677483181	0.01902969945193372	0.35351817796573637	0.9999999462646411	1.0
GO:0003676	nucleic acid binding	34	3730	0.013454689354966362	0.01699324370498271	0.7917669862535555	0.9323734456272978	1.0
GO:0000166	nucleotide binding	38	3377	0.015037593984962405	0.01538503592271491	0.9774168913548307	0.5790323730528524	1.0
GO:0016787	hydrolase activity	38	3181	0.015037593984962405	0.014492093358056301	1.0376412581280299	0.43134276087244194	1.0
GO:0036211	protein modification process	11	3013	0.004352987732489117	0.01372671401692035	0.31711797354584426	0.9999993401579088	1.0
GO:0006810	transport	20	2564	0.007914523149980214	0.011681146611146291	0.6775467694608062	0.9747044147155374	1.0
GO:0006950	response to stress	76	2256	0.03007518796992481	0.01027795115239705	2.9261851437103394	4.603950103603251e-16	2.232915800247577e-14
GO:0016043	cellular component organization	32	2253	0.012663237039968342	0.01026428366416248	1.233718538409237	0.1358073386899306	0.6933322027854353
GO:0003677	DNA binding	21	2131	0.008310249307479225	0.00970847247595661	0.8559790768382837	0.7918877690629262	1.0
GO:0005886	plasma membrane	13	2077	0.0051444400474871385	0.00946245768773434	0.5436684862702837	0.9947057509712788	1.0
GO:0009056	catabolic process	21	1852	0.008310249307479225	0.00843739607014155	0.9849305684354116	0.5577811391073437	1.0
GO:0016301	kinase activity	9	1694	0.003561535417491096	0.007717575023120834	0.4614837441581335	0.9973446931168469	1.0
GO:0007154	cell communication	17	1495	0.006727344677483181	0.006810964970227654	0.9877226952260073	0.5535320133468927	1.0
GO:0042221	response to chemical	53	1489	0.020973486347447567	0.006783629993758514	3.0917792342366646	1.565277834852784e-12	5.061064999357335e-11
GO:0009536	plastid	20	1428	0.007914523149980214	0.0065057243996555795	1.2165475608525957	0.2179762988188336	0.9192913471924722
GO:0005215	transporter activity	10	1418	0.003957261574990107	0.0064601661055403445	0.6125634403728868	0.9643590418956144	1.0
GO:0007165	signal transduction	17	1417	0.006727344677483181	0.006455610276128821	1.0420927518439524	0.4653696115623943	1.0
GO:0009507	chloroplast	20	1360	0.007914523149980214	0.00619592799967198	1.2773749388952258	0.1626251167713426	0.7667772779600837
GO:0005829	cytosol	26	1319	0.010288880094974277	0.0060091389937995164	1.7122053767754046	0.006690824507892376	0.09271571103793723
GO:0003723	RNA binding	10	1306	0.003957261574990107	0.00594991321144971	0.6650956802823533	0.9329671129680481	1.0
GO:0140110	transcription regulator activity	18	1214	0.007123070834982192	0.005530776905589547	1.287896972988267	0.1692704684402598	0.7667772779600837
GO:0048856	anatomical structure development	13	1156	0.0051444400474871385	0.005266538799721184	0.9768161297434077	0.571560275054872	1.0
GO:0005975	carbohydrate metabolic process	12	1103	0.004748713889988128	0.005025079840910437	0.9450026746495959	0.617032010085623	1.0
GO:0003700	DNA-binding transcription factor activity	15	1088	0.00593589236248516	0.004956742399737584	1.197539005214274	0.2762712528010219	1.0
GO:0005739	mitochondrion	14	1068	0.00554016620498615	0.004865625811507114	1.13863384066316	0.34936779408077595	1.0
GO:0006629	lipid metabolic process	6	990	0.002374356944994064	0.00451027111740828	0.5264333081507596	0.971398219451023	1.0
GO:0007275	multicellular organism development	12	967	0.004748713889988128	0.004405487040943239	1.077908945334544	0.43668892589800606	1.0
GO:0005794	Golgi apparatus	3	850	0.001187178472497032	0.0038724549997949877	0.3065699853348542	0.9968589024983432	1.0
