GOSlim GOA Accession(s)	GOSlim GOA Description	counts
GO:0043226	organelle	18493
GO:0005634	nucleus	11009
GO:0023052	signaling	7321
GO:0005886	plasma membrane	6799
GO:0003824	catalytic activity	6372
GO:0048856	anatomical structure development	6243
GO:0005829	cytosol	5922
GO:0005576	extracellular region	4886
GO:0005654	nucleoplasm	4670
GO:0030154	cell differentiation	4610
GO:0006351	DNA-templated transcription	3910
GO:0006355	regulation of DNA-templated transcription	3761
GO:0036211	protein modification process	3739
GO:0065003	protein-containing complex assembly	3695
GO:0005615	extracellular space	3683
GO:0002376	immune system process	3654
GO:0003723	RNA binding	3432
GO:0031410	cytoplasmic vesicle	2832
GO:0003677	DNA binding	2731
GO:0016787	hydrolase activity	2727
GO:0016740	transferase activity	2599
GO:0005856	cytoskeleton	2592
GO:0140096	catalytic activity, acting on a protein	2588
GO:0016071	mRNA metabolic process	2403
GO:0098772	molecular function regulator activity	2345
GO:0005783	endoplasmic reticulum	2274
GO:0005730	nucleolus	2197
GO:0012501	programmed cell death	2179
GO:0005694	chromosome	2027
GO:0060089	molecular transducer activity	1978
GO:0140110	transcription regulator activity	1859
GO:0005794	Golgi apparatus	1839
GO:0005739	mitochondrion	1827
GO:0048870	cell motility	1791
GO:0007155	cell adhesion	1749
GO:0050877	nervous system process	1735
GO:0055085	transmembrane transport	1701
GO:0016192	vesicle-mediated transport	1694
GO:0007010	cytoskeleton organization	1595
GO:0022414	reproductive process	1582
GO:0006629	lipid metabolic process	1533
GO:0098542	defense response to other organism	1433
GO:0005215	transporter activity	1361
GO:0005768	endosome	1242
GO:0005198	structural molecule activity	1227
GO:0006886	intracellular protein transport	1222
GO:1901135	carbohydrate derivative metabolic process	1188
GO:0030163	protein catabolic process	1154
GO:0008092	cytoskeletal protein binding	1044
GO:0005773	vacuole	991
GO:0000278	mitotic cell cycle	987
GO:0006954	inflammatory response	920
GO:0005815	microtubule organizing center	908
GO:0005764	lysosome	887
GO:0008289	lipid binding	873
GO:0061024	membrane organization	861
GO:0006325	chromatin organization	861
GO:0016491	oxidoreductase activity	823
GO:0034330	cell junction organization	791
GO:0005929	cilium	768
GO:0055086	nucleobase-containing small molecule metabolic process	723
GO:0031047	gene silencing by RNA	707
GO:0140657	ATP-dependent activity	660
GO:0006281	DNA repair	660
GO:0060090	molecular adaptor activity	640
GO:0005975	carbohydrate metabolic process	613
GO:0003013	circulatory system process	609
GO:0006914	autophagy	605
GO:0005840	ribosome	601
GO:0007005	mitochondrion organization	594
GO:0048018	receptor ligand activity	589
GO:0030312	external encapsulating structure	583
GO:0031012	extracellular matrix	582
GO:0005635	nuclear envelope	544
GO:0006091	generation of precursor metabolites and energy	541
GO:0055065	metal ion homeostasis	532
GO:0140098	catalytic activity, acting on RNA	482
GO:0042060	wound healing	459
GO:0007018	microtubule-based movement	439
GO:0003012	muscle system process	433
GO:0044782	cilium organization	416
GO:0007059	chromosome segregation	399
GO:0051604	protein maturation	362
GO:0003924	GTPase activity	360
GO:0042254	ribosome biogenesis	357
GO:0006310	DNA recombination	356
GO:0006913	nucleocytoplasmic transport	352
GO:0006790	sulfur compound metabolic process	352
GO:0030198	extracellular matrix organization	350
GO:0140014	mitotic nuclear division	348
GO:0006520	cellular amino acid metabolic process	332
GO:0072659	protein localization to plasma membrane	305
GO:0006260	DNA replication	303
GO:0140097	catalytic activity, acting on DNA	264
GO:0042393	histone binding	249
GO:0000228	nuclear chromosome	247
GO:0006457	protein folding	240
GO:0006486	protein glycosylation	240
GO:0007163	establishment or maintenance of cell polarity	238
GO:0006399	tRNA metabolic process	237
GO:0016829	lyase activity	220
GO:0032200	telomere organization	213
GO:0140013	meiotic nuclear division	211
GO:0016874	ligase activity	198
GO:0045182	translation regulator activity	195
GO:0000910	cytokinesis	195
GO:0006575	cellular modified amino acid metabolic process	185
GO:0016853	isomerase activity	183
GO:0002181	cytoplasmic translation	179
GO:0140053	mitochondrial gene expression	174
GO:0005777	peroxisome	154
GO:0098754	detoxification	137
GO:0003774	cytoskeletal motor activity	128
GO:0003014	renal system process	127
GO:0006766	vitamin metabolic process	118
GO:0005811	lipid droplet	109
GO:0007040	lysosome organization	108
GO:0022600	digestive system process	104
GO:0140104	molecular carrier activity	101
GO:0038024	cargo receptor activity	98
GO:0050886	endocrine process	96
GO:0001618	virus receptor activity	94
GO:0016209	antioxidant activity	93
GO:0044183	protein folding chaperone	75
GO:0098631	cell adhesion mediator activity	72
GO:0140223	general transcription initiation factor activity	61
GO:0016073	snRNA metabolic process	59
GO:0140299	small molecule sensor activity	50
GO:0003016	respiratory system process	41
GO:0007031	peroxisome organization	40
GO:0140313	molecular sequestering activity	38
GO:0009975	cyclase activity	23
GO:0071941	nitrogen cycle metabolic process	13
GO:0031386	protein tag	13
GO:0120274	virus coreceptor activity	1
GO:0007568	aging	1
GO:0071554	cell wall organization or biogenesis	1
