GOSlim GOA Accession(s)	GOSlim GOA Description	counts_up	counts_all	up_ratio	all_ratio	fold_enrichment
GO:0043226	organelle	128.0	18493	0.64	0.732135080565343	0.8741556264532526
GO:0005634	nucleus	71.0	11009	0.355	0.43584464943188567	0.8145104005813425
GO:0023052	signaling	68.0	7321	0.34	0.2898372857199414	1.1730719847015436
GO:0005886	plasma membrane	52.0	6799	0.26	0.2691713844570252	0.9659273422562142
GO:0003824	catalytic activity	47.0	6372	0.235	0.25226651886456314	0.9315544569993721
GO:0048856	anatomical structure development	63.0	6243	0.315	0.2471594283225781	1.2744810187409898
GO:0005829	cytosol	48.0	5922	0.24	0.2344510867413595	1.0236676798378925
GO:0005576	extracellular region	60.0	4886	0.3	0.19343600300882854	1.5509005321326237
GO:0005654	nucleoplasm	40.0	4670	0.2	0.1848845955896908	1.0817558886509637
GO:0030154	cell differentiation	49.0	4610	0.245	0.1825092046399303	1.3423980477223427
GO:0006351	DNA-templated transcription	41.0	3910	0.205	0.15479631022605803	1.3243209718670077
GO:0006355	regulation of DNA-templated transcription	40.0	3761	0.2	0.14889742270081952	1.3432065939909599
GO:0036211	protein modification process	38.0	3739	0.19	0.14802644601924067	1.2835544263171972
GO:0065003	protein-containing complex assembly	17.0	3695	0.085	0.14628449265608298	0.5810595399188092
GO:0005615	extracellular space	46.0	3683	0.23	0.14580941446613088	1.5774015748031498
GO:0002376	immune system process	42.0	3654	0.21	0.1446613088404133	1.4516666666666667
GO:0003723	RNA binding	17.0	3432	0.085	0.13587236232629954	0.6255871212121212
GO:0031410	cytoplasmic vesicle	26.0	2832	0.13	0.11211845282869472	1.1594879943502825
GO:0003677	DNA binding	26.0	2731	0.13	0.10811987806326458	1.2023690955693886
GO:0016787	hydrolase activity	24.0	2727	0.12	0.10796151866661388	1.1115071507150716
GO:0016740	transferase activity	12.0	2599	0.06	0.10289401797379152	0.5831242785686802
GO:0005856	cytoskeleton	30.0	2592	0.15	0.1026168890296528	1.4617476851851852
GO:0140096	catalytic activity, acting on a protein	17.0	2588	0.085	0.1024585296330021	0.829603941267388
GO:0016071	mRNA metabolic process	5.0	2403	0.025	0.09513440753790728	0.26278610070744907
GO:0098772	molecular function regulator activity	38.0	2345	0.19	0.09283819628647215	2.0465714285714287
GO:0005783	endoplasmic reticulum	21.0	2274	0.105	0.09002731699592224	1.1663126649076516
