GOSlim GOA Accession(s)	GOSlim GOA Description	counts_up	counts_all	up_ratio	all_ratio	fold_enrichment
GO:0003674	molecular_function	204.0	18866	0.5244215938303342	0.7986284553189688	0.6566527780692243
GO:0005575	cellular_component	203.0	17584	0.5218508997429306	0.7443593108411294	0.7010739197353987
GO:0008150	biological_process	197.0	16773	0.506426735218509	0.7100283621893917	0.7132485998966696
GO:0009987	cellular process	153.0	13761	0.39331619537275064	0.5825255048046395	0.6751913729591228
GO:0005488	binding	149.0	12683	0.38303341902313626	0.5368920120221817	0.7134273009211975
GO:0008152	metabolic process	111.0	11823	0.2853470437017995	0.5004868136985141	0.5701389844682069
GO:0005622	intracellular anatomical structure	152.0	11315	0.390745501285347	0.4789823477119756	0.8157826758165049
GO:0003824	catalytic activity	88.0	9861	0.2262210796915167	0.4174321635694027	0.5419349523935401
GO:0016020	membrane	73.0	8198	0.18766066838046272	0.3470346696016594	0.540754814485444
GO:0005737	cytoplasm	118.0	7291	0.3033419023136247	0.3086398848579774	0.9828344202927933
GO:0009058	biosynthetic process	40.0	4772	0.10282776349614396	0.2020065190703975	0.5090319063431284
GO:0005634	nucleus	50.0	4595	0.12853470437017994	0.19451382127587521	0.660799852303974
GO:0019538	protein metabolic process	37.0	4544	0.09511568123393316	0.1923549083520298	0.4944801359571309
GO:0005515	protein binding	65.0	4472	0.16709511568123395	0.18930703128307158	0.8826672445746399
GO:0006139	nucleobase-containing compound metabolic process	41.0	4265	0.10539845758354756	0.1805443847098167	0.5837814216872553
GO:0016740	transferase activity	17.0	4177	0.043701799485861184	0.17681920162553444	0.24715528112389246
GO:0003676	nucleic acid binding	34.0	3730	0.08740359897172237	0.15789696482241883	0.5535483159541549
GO:0000166	nucleotide binding	38.0	3377	0.09768637532133675	0.14295390085933202	0.6833417957405798
GO:0016787	hydrolase activity	38.0	3181	0.09768637532133675	0.1346569021716124	0.7254464772763087
GO:0036211	protein modification process	11.0	3013	0.028277634961439587	0.1275451890107099	0.22170679412349398
GO:0006810	transport	20.0	2564	0.05141388174807198	0.10853828895567878	0.4736934978684495
GO:0006950	response to stress	76.0	2256	0.1953727506426735	0.09550014816069086	2.0457847909715765
GO:0016043	cellular component organization	32.0	2253	0.08226221079691516	0.09537315328281759	0.8625300513340111
GO:0003677	DNA binding	21.0	2131	0.05398457583547558	0.09020869491597172	0.5984409361621021
GO:0005886	plasma membrane	13.0	2077	0.033419023136246784	0.08792278711425305	0.38009512929588724
GO:0009056	catabolic process	21.0	1852	0.05398457583547558	0.07839817127375863	0.688594835292354
GO:0016301	kinase activity	9.0	1694	0.02313624678663239	0.07170977437243364	0.3226372832589238
GO:0007154	cell communication	17.0	1495	0.043701799485861184	0.06328578080684079	0.6905468958224072
GO:0042221	response to chemical	53.0	1489	0.13624678663239073	0.06303179105109427	2.161556642455988
GO:0009536	plastid	20.0	1428	0.05141388174807198	0.060449561867671336	0.8505253000943308
GO:0005215	transporter activity	10.0	1418	0.02570694087403599	0.06002624560809381	0.4282616814297265
GO:0007165	signal transduction	17.0	1417	0.043701799485861184	0.05998391398213605	0.7285586515557507
GO:0009507	chloroplast	20.0	1360	0.05141388174807198	0.057571011302544134	0.8930515650990473
GO:0005829	cytosol	26.0	1319	0.06683804627249357	0.05583541463827626	1.197054713491369
GO:0003723	RNA binding	10.0	1306	0.02570694087403599	0.05528510350082547	0.4649885637575438
GO:0140110	transcription regulator activity	18.0	1214	0.04627249357326478	0.05139059391271219	0.900407838287672
GO:0048856	anatomical structure development	13.0	1156	0.033419023136246784	0.04893535960716251	0.682921785075742
GO:0005975	carbohydrate metabolic process	12.0	1103	0.030848329048843187	0.0466917834314016	0.6606800336544175
GO:0003700	DNA-binding transcription factor activity	15.0	1088	0.038560411311053984	0.0460568090420353	0.8372358422803569
GO:0005739	mitochondrion	14.0	1068	0.03598971722365039	0.045210176522880244	0.7960534550321097
GO:0006629	lipid metabolic process	6.0	990	0.015424164524421594	0.04190830969817551	0.3680454934953649
GO:0007275	multicellular organism development	12.0	967	0.030848329048843187	0.04093468230114719	0.7535988388012642
GO:0005794	Golgi apparatus	3.0	850	0.007712082262210797	0.03598188206409008	0.21433237562377136
GO:0005783	endoplasmic reticulum	28.0	844	0.07197943444730077	0.03572789230834356	2.014656611313491
GO:0009628	response to abiotic stimulus	52.0	800	0.13367609254498714	0.03386530076620243	3.947287917737789
GO:0005576	extracellular region	10.0	787	0.02570694087403599	0.03331498962875164	0.7716328643803714
GO:0006412	translation	3.0	777	0.007712082262210797	0.03289167336917411	0.23446913678276146
GO:0009605	response to external stimulus	7.0	758	0.017994858611825194	0.0320873724759768	0.5608081068432013
GO:0009719	response to endogenous stimulus	18.0	745	0.04627249357326478	0.03153706133852601	1.4672417660150792
GO:0009607	response to biotic stimulus	6.0	619	0.015424164524421594	0.02620327646784913	0.5886349572866095
GO:0000003	reproduction	10.0	613	0.02570694087403599	0.02594928671210261	0.9906607899956806
GO:0065009	regulation of molecular function	10.0	541	0.02570694087403599	0.022901409643144393	1.1225047398657158
GO:0005198	structural molecule activity	2.0	530	0.005141388174807198	0.02243576175760911	0.22916040161032156
GO:0009791	post-embryonic development	8.0	530	0.02056555269922879	0.02243576175760911	0.9166416064412862
GO:0007049	cell cycle	4.0	510	0.010282776349614395	0.02158912923845405	0.4762941680528252
GO:0006259	DNA metabolic process	4.0	496	0.010282776349614395	0.020996486475045508	0.4897379550543162
GO:0006091	generation of precursor metabolites and energy	11.0	491	0.028277634961439587	0.02078482834525674	1.3604940340001779
GO:0030234	enzyme regulator activity	10.0	448	0.02570694087403599	0.01896456842907336	1.3555246970253396
GO:0005773	vacuole	8.0	426	0.02056555269922879	0.018033272658002794	1.1404226559011308
GO:0005840	ribosome	1.0	420	0.002570694087403599	0.017779282902256277	0.1445893010160362
GO:0030246	carbohydrate binding	4.0	375	0.010282776349614395	0.01587435973415739	0.6477600685518423
GO:0030312	external encapsulating structure	0.0	349	0.0	0.01477373745925581	0.0
GO:0005618	cell wall	0.0	341	0.0	0.014435084451593786	0.0
GO:0038023	signaling receptor activity	0.0	340	0.0	0.014392752825636033	0.0
GO:0009579	thylakoid	5.0	332	0.012853470437017995	0.014054099817974008	0.9145708799207112
GO:0005654	nucleoplasm	2.0	326	0.005141388174807198	0.01380011006222749	0.37256138912107495
GO:0008289	lipid binding	7.0	295	0.017994858611825194	0.012487829657537145	1.4409916779225307
GO:0009416	response to light stimulus	5.0	284	0.012853470437017995	0.012022181772001863	1.0691462399073102
GO:0005856	cytoskeleton	1.0	280	0.002570694087403599	0.01185285526817085	0.21688395152405432
GO:0005768	endosome	0.0	276	0.0	0.011683528764339838	0.0
GO:0030154	cell differentiation	1.0	276	0.002570694087403599	0.011683528764339838	0.22002719719831598
GO:0019725	cellular homeostasis	7.0	263	0.017994858611825194	0.011133217626889048	1.6163214638294545
GO:0005730	nucleolus	1.0	258	0.002570694087403599	0.010921559497100284	0.2353779318865706
GO:0019748	secondary metabolic process	3.0	255	0.007712082262210797	0.010794564619227025	0.7144412520792378
GO:0004518	nuclease activity	0.0	247	0.0	0.010455911611565	0.0
