GOSlim GOA Accession(s)	GOSlim GOA Description	counts_up	counts_all	up_ratio	all_ratio	fold_enrichment	p_value	q_value
GO:0043226	organelle	128	18493	0.64	0.732135080565343	0.8741556264532526	0.9984173544599488	1.0
GO:0005634	nucleus	71	11009	0.355	0.43584464943188567	0.8145104005813425	0.9919308877840929	1.0
GO:0023052	signaling	68	7321	0.34	0.2898372857199414	1.1730719847015436	0.06945563451582483	0.35242303439511113
GO:0005886	plasma membrane	52	6799	0.26	0.2691713844570252	0.9659273422562142	0.6416947134955686	1.0
GO:0003824	catalytic activity	47	6372	0.235	0.25226651886456314	0.9315544569993721	0.7383501192542863	1.0
GO:0048856	anatomical structure development	63	6243	0.315	0.2471594283225781	1.2744810187409898	0.017524581992767616	0.1714905523577974
GO:0005829	cytosol	48	5922	0.24	0.2344510867413595	1.0236676798378925	0.45358459587940564	0.8877298519354081
GO:0005576	extracellular region	60	4886	0.3	0.19343600300882854	1.5509005321326237	0.0001896473116617443	0.006495420424414742
GO:0005654	nucleoplasm	40	4670	0.2	0.1848845955896908	1.0817558886509637	0.31699246428376865	0.7004510904334887
GO:0030154	cell differentiation	49	4610	0.245	0.1825092046399303	1.3423980477223427	0.01610002328345994	0.16966947614107786
GO:0006351	DNA-templated transcription	41	3910	0.205	0.15479631022605803	1.3243209718670077	0.034022986537790775	0.23305745778386683
GO:0006355	regulation of DNA-templated transcription	40	3761	0.2	0.14889742270081952	1.3432065939909599	0.02975660622165095	0.21456079222979896
GO:0036211	protein modification process	38	3739	0.19	0.14802644601924067	1.2835544263171972	0.06074645783832597	0.3327423111495762
GO:0065003	protein-containing complex assembly	17	3695	0.085	0.14628449265608298	0.5810595399188092	0.9968266739794237	1.0
GO:0005615	extracellular space	46	3683	0.23	0.14580941446613088	1.5774015748031498	0.0009549591807891046	0.016353675971013417
GO:0002376	immune system process	42	3654	0.21	0.1446613088404133	1.4516666666666667	0.00753937711959702	0.09389951503498106
GO:0003723	RNA binding	17	3432	0.085	0.13587236232629954	0.6255871212121212	0.9901555266524731	1.0
GO:0031410	cytoplasmic vesicle	26	2832	0.13	0.11211845282869472	1.1594879943502825	0.23972485517675704	0.6202082084056749
GO:0003677	DNA binding	26	2731	0.13	0.10811987806326458	1.2023690955693886	0.18589009423711847	0.5659320646774496
GO:0016787	hydrolase activity	24	2727	0.12	0.10796151866661388	1.1115071507150716	0.3227420966176379	0.7018359878827999
GO:0016740	transferase activity	12	2599	0.06	0.10289401797379152	0.5831242785686802	0.9880658459737932	1.0
GO:0005856	cytoskeleton	30	2592	0.15	0.1026168890296528	1.4617476851851852	0.021984326761720602	0.19141271668372623
GO:0140096	catalytic activity, acting on a protein	17	2588	0.085	0.1024585296330021	0.829603941267388	0.8242004518961976	1.0
GO:0016071	mRNA metabolic process	5	2403	0.025	0.09513440753790728	0.26278610070744907	0.9999809688286697	1.0
GO:0098772	molecular function regulator activity	38	2345	0.19	0.09283819628647215	2.0465714285714287	1.5939313557451746e-05	0.0007278953191236298
