GOSlim GOA Accession(s)	GOSlim GOA Description	counts
GO:0003674	molecular_function	204
GO:0005575	cellular_component	203
GO:0008150	biological_process	197
GO:0009987	cellular process	153
GO:0005622	intracellular anatomical structure	152
GO:0005488	binding	149
GO:0005737	cytoplasm	118
GO:0008152	metabolic process	111
GO:0003824	catalytic activity	88
GO:0006950	response to stress	76
GO:0016020	membrane	73
GO:0005515	protein binding	65
GO:0042221	response to chemical	53
GO:0009628	response to abiotic stimulus	52
GO:0005634	nucleus	50
GO:0006139	nucleobase-containing compound metabolic process	41
GO:0009058	biosynthetic process	40
GO:0000166	nucleotide binding	38
GO:0016787	hydrolase activity	38
GO:0019538	protein metabolic process	37
GO:0003676	nucleic acid binding	34
GO:0016043	cellular component organization	32
GO:0005783	endoplasmic reticulum	28
GO:0005829	cytosol	26
GO:0009056	catabolic process	21
GO:0003677	DNA binding	21
GO:0009507	chloroplast	20
GO:0006810	transport	20
GO:0009536	plastid	20
GO:0009719	response to endogenous stimulus	18
GO:0140110	transcription regulator activity	18
GO:0007154	cell communication	17
GO:0007165	signal transduction	17
GO:0016740	transferase activity	17
GO:0003700	DNA-binding transcription factor activity	15
GO:0005739	mitochondrion	14
GO:0005886	plasma membrane	13
GO:0048856	anatomical structure development	13
GO:0005975	carbohydrate metabolic process	12
GO:0007275	multicellular organism development	12
GO:0006091	generation of precursor metabolites and energy	11
GO:0036211	protein modification process	11
GO:0030234	enzyme regulator activity	10
GO:0065009	regulation of molecular function	10
GO:0000003	reproduction	10
GO:0003723	RNA binding	10
GO:0005576	extracellular region	10
GO:0005215	transporter activity	10
GO:0016301	kinase activity	9
GO:0005773	vacuole	8
GO:0009791	post-embryonic development	8
GO:0019725	cellular homeostasis	7
GO:0008289	lipid binding	7
GO:0009605	response to external stimulus	7
GO:0009607	response to biotic stimulus	6
GO:0006629	lipid metabolic process	6
GO:0015979	photosynthesis	6
GO:0009579	thylakoid	5
GO:0009416	response to light stimulus	5
GO:0007049	cell cycle	4
GO:0030246	carbohydrate binding	4
GO:0006259	DNA metabolic process	4
GO:0019748	secondary metabolic process	3
GO:0005794	Golgi apparatus	3
GO:0008219	cell death	3
GO:0009908	flower development	3
GO:0009790	embryo development	3
GO:0006412	translation	3
GO:0005777	peroxisome	2
GO:0005654	nucleoplasm	2
GO:0005198	structural molecule activity	2
GO:0016049	cell growth	1
GO:0005730	nucleolus	1
GO:0005840	ribosome	1
GO:0005856	cytoskeleton	1
GO:0030154	cell differentiation	1
GO:0009856	pollination	1
GO:0040007	growth	1
GO:0045182	translation regulator activity	1
GO:0008135	translation factor activity, RNA binding	1
