GOSlim GOA Accession(s)	GOSlim GOA Description	counts_up	counts_all	up_ratio	all_ratio	fold_enrichment	p_value	q_value
GO:0003674	molecular_function	204	18866	0.5244215938303342	0.7986284553189688	0.6566527780692243	1.0	1.0
GO:0005575	cellular_component	203	17584	0.5218508997429306	0.7443593108411294	0.7010739197353987	1.0	1.0
GO:0008150	biological_process	197	16773	0.506426735218509	0.7100283621893917	0.7132485998966696	1.0	1.0
GO:0009987	cellular process	153	13761	0.39331619537275064	0.5825255048046395	0.6751913729591228	0.999999999999987	1.0
GO:0005488	binding	149	12683	0.38303341902313626	0.5368920120221817	0.7134273009211975	0.9999999996997989	1.0
GO:0008152	metabolic process	111	11823	0.2853470437017995	0.5004868136985141	0.5701389844682069	1.0	1.0
GO:0005622	intracellular anatomical structure	152	11315	0.390745501285347	0.4789823477119756	0.8157826758165049	0.9998288278306391	1.0
GO:0003824	catalytic activity	88	9861	0.2262210796915167	0.4174321635694027	0.5419349523935401	0.9999999999999997	1.0
GO:0016020	membrane	73	8198	0.18766066838046272	0.3470346696016594	0.540754814485444	0.9999999999991237	1.0
GO:0005737	cytoplasm	118	7291	0.3033419023136247	0.3086398848579774	0.9828344202927933	0.6091395673352993	1.0
GO:0009058	biosynthetic process	40	4772	0.10282776349614396	0.2020065190703975	0.5090319063431284	0.9999999598511545	1.0
GO:0005634	nucleus	50	4595	0.12853470437017994	0.19451382127587521	0.660799852303974	0.9998001947780095	1.0
GO:0019538	protein metabolic process	37	4544	0.09511568123393316	0.1923549083520298	0.4944801359571309	0.9999999635354088	1.0
GO:0005515	protein binding	65	4472	0.16709511568123395	0.18930703128307158	0.8826672445746399	0.8847426164758401	1.0
GO:0006139	nucleobase-containing compound metabolic process	41	4265	0.10539845758354756	0.1805443847098167	0.5837814216872553	0.9999869887153984	1.0
GO:0016740	transferase activity	17	4177	0.043701799485861184	0.17681920162553444	0.24715528112389246	0.9999999999999998	1.0
GO:0003676	nucleic acid binding	34	3730	0.08740359897172237	0.15789696482241883	0.5535483159541549	0.9999866842776266	1.0
GO:0000166	nucleotide binding	38	3377	0.09768637532133675	0.14295390085933202	0.6833417957405798	0.9971563349874436	1.0
GO:0016787	hydrolase activity	38	3181	0.09768637532133675	0.1346569021716124	0.7254464772763087	0.9895715770022154	1.0
GO:0036211	protein modification process	11	3013	0.028277634961439587	0.1275451890107099	0.22170679412349398	0.9999999999993083	1.0
GO:0006810	transport	20	2564	0.05141388174807198	0.10853828895567878	0.4736934978684495	0.9999792569527808	1.0
GO:0006950	response to stress	76	2256	0.1953727506426735	0.09550014816069086	2.0457847909715765	1.156372157922886e-09	5.608404965925997e-08
GO:0016043	cellular component organization	32	2253	0.08226221079691516	0.09537315328281759	0.8625300513340111	0.835035139183845	1.0
