Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	HN-score(HN5)	organism
ENSG00000173110	H_1	161524540	161526894	245	human
ENSG00000204389	H_6	31815543	31817946	239	human
ENSG00000204388	H_6	31827738	31830254	231	human
ENSG00000132002	H_19	14514769	14560391	210	human
ENSG00000151929	H_10	119651380	119677819	181	human
ENSG00000146453	H_6	159800249	159820704	175	human
ENSG00000109846	H_11	111908564	111923722	173	human
ENSG00000120694	H_13	31134973	31162388	167	human
ENSG00000178381	H_7	1152071	1160759	165	human
ENSG00000170345	H_14	75278826	75282230	165	human
ENSG00000166592	H_16	66921685	66925535	155	human
ENSG00000226979	H_6	31572054	31574324	154	human
ENSG00000204390	H_6	31809619	31815283	150	human
ENSG00000162616	H_1	77979175	78017964	149	human
ENSG00000160570	H_19	42198598	42220140	143	human
ENSG00000119630	H_14	74941834	74955626	141	human
ENSG00000182308	H_4	41981756	41986465	141	human
ENSG00000162783	H_1	181088700	181092900	140	human
ENSG00000188536	H_16	172876	173710	139	human
ENSG00000004478	H_12	2794970	2805423	129	human
ENSG00000261857	H_19	40771648	40777490	127	human
ENSG00000112773	H_6	81491439	81752774	127	human
ENSG00000184378	H_3	169766921	169769561	126	human
ENSG00000116741	H_1	192809039	192812275	122	human
ENSG00000189030	H_1	156298624	156299307	121	human
ENSG00000149257	H_11	75562056	75572783	119	human
ENSG00000196900	H_5	126631705	126636284	119	human
ENSG00000125740	H_19	45467995	45475179	118	human
ENSG00000128253	H_22	32190435	32205073	117	human
ENSG00000188573	H_5	168529305	168530634	116	human
ENSG00000176714	H_2	27625638	27629012	113	human
ENSG00000181016	H_7	112480853	112491062	113	human
ENSG00000106211	H_7	76302673	76304295	112	human
ENSG00000171786	H_1	160367071	160372846	111	human
ENSG00000149201	H_11	86374736	86423109	109	human
ENSG00000104804	H_19	48880965	48898744	108	human
ENSG00000140403	H_15	78264086	78282196	106	human
ENSG00000122877	H_10	62811996	62819167	104	human
ENSG00000187944	H_2	196804417	196809355	100	human
ENSG00000179148	H_17	8095900	8119047	100	human
ENSG00000152137	H_12	119171555	119224855	100	human
ENSG00000182896	H_17	7355123	7357219	99	human
ENSG00000187922	H_9	136738167	136743356	98	human
ENSG00000099139	H_9	75890644	76362975	98	human
ENSG00000143199	H_1	167809386	167914215	97	human
ENSG00000164070	H_4	127781821	127840733	96	human
ENSG00000149212	H_11	95165513	95232541	95	human
ENSG00000006606	H_7	75769533	75789896	95	human
ENSG00000087589	H_20	56412112	56460387	91	human
ENSG00000270757	H_2	197500413	197550726	90	human
ENSG00000132952	H_13	30617693	30660770	89	human
ENSG00000204421	H_6	31718648	31721746	89	human
ENSG00000162772	H_1	212565334	212620777	88	human
ENSG00000120129	H_5	172768096	172771195	87	human
ENSG00000120738	H_5	138465479	138469303	87	human
ENSG00000204103	H_20	40685848	40689236	86	human
ENSG00000129654	H_17	76136333	76141245	83	human
ENSG00000215547	H_20	31257664	31259632	83	human
ENSG00000167280	H_17	79074824	79088599	83	human
ENSG00000187581	H_14	93347182	93348356	83	human
ENSG00000104808	H_19	48933699	48944969	82	human
ENSG00000108342	H_17	40015361	40017813	81	human
ENSG00000120885	H_8	27596917	27614700	81	human
ENSG00000243414	H_5	115578496	115602479	81	human
ENSG00000120903	H_8	27459756	27479883	80	human
ENSG00000268975	H_19	40771648	40796943	80	human
ENSG00000234776	H_11	45906513	45907272	79	human
ENSG00000110172	H_11	90200429	90223077	79	human
ENSG00000249693	H_4	56530606	56603507	79	human
ENSG00000260596	H_4	190173774	190185942	78	human
ENSG00000105219	H_19	40222208	40226697	78	human
ENSG00000177688	H_6	149400262	149401278	76	human
ENSG00000260325	H_17	42122804	42123352	76	human
ENSG00000235863	H_6	33277123	33284832	75	human
ENSG00000197520	H_1	222737202	222751004	75	human
ENSG00000108551	H_17	17494437	17496395	74	human
ENSG00000006283	H_17	50560715	50627474	74	human
ENSG00000183655	H_15	85759326	85794925	74	human
ENSG00000170276	H_11	111912734	111914093	73	human
ENSG00000177283	H_10	35638247	35642296	73	human
ENSG00000172361	H_18	50227193	50266495	72	human
ENSG00000211645	H_22	22327300	22327814	72	human
ENSG00000187479	H_11	43942637	43943878	72	human
ENSG00000117601	H_1	173903800	173917327	72	human
ENSG00000128242	H_22	30554635	30574665	72	human
ENSG00000178297	H_19	2360238	2426261	72	human
ENSG00000187475	H_6	26107412	26108135	72	human
ENSG00000198576	H_8	142611049	142614479	71	human
ENSG00000241322	H_17	15565483	15619704	71	human
ENSG00000068079	H_17	43006740	43014456	71	human
ENSG00000165507	H_10	44970981	44978809	70	human
ENSG00000171747	H_19	38801671	38812945	70	human
ENSG00000170458	H_5	140631728	140633700	70	human
ENSG00000126759	H_X	47623172	47630305	70	human
ENSG00000179363	H_X	103710909	103714032	70	human
ENSG00000182759	H_8	143419182	143430732	69	human
ENSG00000164949	H_8	94249253	94262350	69	human
ENSG00000185955	H_7	100456620	100464260	69	human
ENSG00000179388	H_8	22687659	22693480	69	human
ENSG00000206172	H_16	176680	177522	69	human
ENSG00000080824	H_14	102080742	102139699	68	human
ENSG00000119508	H_9	99821855	99866891	68	human
ENSG00000184716	H_15	43794162	43800220	68	human
ENSG00000232810	H_6	31575565	31578336	68	human
ENSG00000089692	H_12	6772512	6778455	67	human
ENSG00000196189	H_1	156147366	156177752	67	human
ENSG00000070495	H_17	76712832	76726799	67	human
ENSG00000160963	H_7	101362875	101559024	67	human
ENSG00000169402	H_7	6754103	6799365	67	human
ENSG00000086061	H_9	33025273	33039907	67	human
ENSG00000168334	H_3	39183210	39192596	67	human
ENSG00000091831	H_6	151656691	152129619	67	human
ENSG00000203907	H_6	73368555	73395133	66	human
ENSG00000172771	H_3	129401321	129428636	66	human
ENSG00000213937	H_16	3012923	3014505	66	human
ENSG00000184697	H_16	3014712	3020071	65	human
ENSG00000163352	H_1	154993586	154994315	65	human
ENSG00000175564	H_11	74000277	74009085	65	human
