Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	HN-score(HN5)	organism	start2 (bp)	end2 (bp)	GOSlim GOA Accession(s)	GOSlim GOA Description	_merge
ENSG00000179476	H_14	44897275	44907257	-19	human					left_only
ENSG00000234409	H_22	20148416	20151055	-15	human					left_only
ENSG00000196196	H_9	35906202	35907136	-52	human					left_only
ENSG00000187808	H_X	119758588	119760202	-16	human					left_only
ENSG00000158792	H_16	89696357	89701705	-19	human					left_only
ENSG00000125089	H_4	8182072	8241803	-16	human					left_only
ENSG00000177352	H_3	49162535	49166331	-31	human					left_only
ENSG00000275183	H_19	54461732	54463778	-22	human					left_only
ENSG00000228727	H_6	31762656	31764850	-32	human					left_only
ENSG00000176125	H_7	100888721	100889715	-22	human					left_only
ENSG00000175449	H_5	95646777	95684773	-17	human					left_only
ENSG00000186118	H_1	46668855	46673594	-15	human					left_only
ENSG00000179023	H_1	18480930	18485974	-18	human					left_only
ENSG00000182359	H_11	106051098	106077459	-15	human					left_only
ENSG00000167183	H_17	47951967	47957883	-17	human					left_only
ENSG00000176092	H_1	26321698	26360080	-15	human					left_only
