Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	HN-score(HN5)	name
ENSG00000173110	1	161524540	161526894	1	245	HSPA6
ENSG00000204389	6	31815543	31817946	1	239	HSPA1A
ENSG00000204388	6	31827738	31830254	1	231	HSPA1B
ENSG00000132002	19	14514769	14560391	-1	210	DNAJB1
ENSG00000151929	10	119651380	119677819	1	181	BAG3
ENSG00000146453	6	159800249	159820704	1	175	PNLDC1
ENSG00000109846	11	111908564	111923722	-1	173	CRYAB
ENSG00000120694	13	31134973	31162388	-1	167	HSPH1
ENSG00000178381	7	1152071	1160759	-1	165	ZFAND2A
ENSG00000170345	14	75278826	75282230	1	165	FOS
ENSG00000166592	16	66921685	66925535	-1	155	RRAD
ENSG00000226979	6	31572054	31574324	1	154	LTA
ENSG00000204390	6	31809619	31815283	-1	150	HSPA1L
ENSG00000162616	1	77979175	78017964	1	149	DNAJB4
ENSG00000160570	19	42198598	42220140	-1	143	DEDD2
ENSG00000119630	14	74941834	74955626	-1	141	PGF
ENSG00000182308	4	41981756	41986465	1	141	DCAF4L1
ENSG00000162783	1	181088700	181092900	1	140	IER5
ENSG00000188536	16	172876	173710	1	139	HBA2
ENSG00000004478	12	2794970	2805423	1	129	FKBP4
ENSG00000261857	19	40771648	40777490	1	127	MIA
ENSG00000112773	6	81491439	81752774	-1	127	TENT5A
ENSG00000184378	3	169766921	169769561	-1	126	ACTRT3
ENSG00000116741	1	192809039	192812275	1	122	RGS2
ENSG00000189030	1	156298624	156299307	-1	121	VHLL
ENSG00000149257	11	75562056	75572783	1	119	SERPINH1
ENSG00000196900	5	126631705	126636284	1	119	TEX43
ENSG00000125740	19	45467995	45475179	1	118	FOSB
ENSG00000128253	22	32190435	32205073	-1	117	RFPL2
ENSG00000188573	5	168529305	168530634	1	116	FBLL1
ENSG00000176714	2	27625638	27629012	-1	113	CCDC121
ENSG00000181016	7	112480853	112491062	1	113	LSMEM1
ENSG00000106211	7	76302673	76304295	1	112	HSPB1
ENSG00000171786	1	160367071	160372846	1	111	NHLH1
ENSG00000149201	11	86374736	86423109	1	109	CCDC81
ENSG00000104804	19	48880965	48898744	-1	108	TULP2
ENSG00000140403	15	78264086	78282196	1	106	DNAJA4
ENSG00000122877	10	62811996	62819167	-1	104	EGR2
ENSG00000187944	2	196804417	196809355	-1	100	C2orf66
ENSG00000179148	17	8095900	8119047	-1	100	ALOXE3
ENSG00000152137	12	119171555	119224855	1	100	HSPB8
ENSG00000182896	17	7355123	7357219	1	99	TMEM95
ENSG00000187922	9	136738167	136743356	-1	98	LCN10
ENSG00000099139	9	75890644	76362975	1	98	PCSK5
ENSG00000143199	1	167809386	167914215	-1	97	ADCY10
ENSG00000164070	4	127781821	127840733	1	96	HSPA4L
ENSG00000149212	11	95165513	95232541	-1	95	SESN3
ENSG00000006606	7	75769533	75789896	-1	95	CCL26
ENSG00000087589	20	56412112	56460387	1	91	CASS4
ENSG00000270757	2	197500413	197550726	1	90	HSPE1-MOB4
ENSG00000132952	13	30617693	30660770	1	89	USPL1
ENSG00000204421	6	31718648	31721746	-1	89	LY6G6C
ENSG00000162772	1	212565334	212620777	1	88	ATF3
ENSG00000120129	5	172768096	172771195	-1	87	DUSP1
ENSG00000120738	5	138465479	138469303	1	87	EGR1
ENSG00000204103	20	40685848	40689236	-1	86	MAFB
ENSG00000129654	17	76136333	76141245	-1	83	FOXJ1
ENSG00000215547	20	31257664	31259632	1	83	DEFB115
ENSG00000167280	17	79074824	79088599	1	83	ENGASE
ENSG00000187581	14	93347182	93348356	1	83	COX8C
ENSG00000104808	19	48933699	48944969	1	82	DHDH
ENSG00000108342	17	40015361	40017813	1	81	CSF3
ENSG00000120885	8	27596917	27614700	-1	81	CLU
ENSG00000243414	5	115578496	115602479	-1	81	TICAM2
ENSG00000120903	8	27459756	27479883	-1	80	CHRNA2
ENSG00000268975	19	40771648	40796943	1	80	MIA-RAB4B
ENSG00000234776	11	45906513	45907272	-1	79	FREY1
ENSG00000110172	11	90200429	90223077	-1	79	CHORDC1
ENSG00000249693	4	56530606	56603507	1	79	THEGL
ENSG00000260596	4	190173774	190185942	1	78	DUX4
ENSG00000105219	19	40222208	40226697	-1	78	CCNP
ENSG00000177688	6	149400262	149401278	1	76	SUMO4
ENSG00000260325	17	42122804	42123352	1	76	HSPB9
ENSG00000235863	6	33277123	33284832	1	75	B3GALT4
ENSG00000197520	1	222737202	222751004	1	75	FAM177B
ENSG00000108551	17	17494437	17496395	-1	74	RASD1
ENSG00000006283	17	50560715	50627474	1	74	CACNA1G
ENSG00000183655	15	85759326	85794925	-1	74	KLHL25
ENSG00000170276	11	111912734	111914093	1	73	HSPB2
ENSG00000177283	10	35638247	35642296	-1	73	FZD8
ENSG00000172361	18	50227193	50266495	-1	72	CFAP53
ENSG00000211645	22	22327300	22327814	1	72	IGLV1-50
ENSG00000187479	11	43942637	43943878	1	72	C11orf96
ENSG00000117601	1	173903800	173917327	-1	72	SERPINC1
ENSG00000128242	22	30554635	30574665	-1	72	GAL3ST1
ENSG00000178297	19	2360238	2426261	1	72	TMPRSS9
ENSG00000187475	6	26107412	26108135	-1	72	H1-6
ENSG00000198576	8	142611049	142614479	-1	71	ARC
ENSG00000241322	17	15565483	15619704	-1	71	FBXW10B
ENSG00000068079	17	43006740	43014456	1	71	IFI35
ENSG00000165507	10	44970981	44978809	-1	70	DEPP1
ENSG00000171747	19	38801671	38812945	-1	70	LGALS4
ENSG00000170458	5	140631728	140633700	-1	70	CD14
ENSG00000126759	X	47623172	47630305	-1	70	CFP
ENSG00000179363	X	103710909	103714032	1	70	TMEM31
ENSG00000182759	8	143419182	143430732	-1	69	MAFA
ENSG00000164949	8	94249253	94262350	-1	69	GEM
ENSG00000185955	7	100456620	100464260	-1	69	SPACDR
ENSG00000179388	8	22687659	22693480	-1	69	EGR3
ENSG00000206172	16	176680	177522	1	69	HBA1
ENSG00000080824	14	102080742	102139699	-1	68	HSP90AA1
ENSG00000119508	9	99821855	99866891	1	68	NR4A3
ENSG00000184716	15	43794162	43800220	-1	68	SERINC4
ENSG00000232810	6	31575565	31578336	1	68	TNF
ENSG00000089692	12	6772512	6778455	1	67	LAG3
ENSG00000196189	1	156147366	156177752	1	67	SEMA4A
ENSG00000070495	17	76712832	76726799	-1	67	JMJD6
ENSG00000160963	7	101362875	101559024	1	67	COL26A1
ENSG00000169402	7	6754103	6799365	1	67	RSPH10B2
ENSG00000086061	9	33025273	33039907	1	67	DNAJA1
ENSG00000168334	3	39183210	39192596	-1	67	XIRP1
ENSG00000091831	6	151656691	152129619	1	67	ESR1
ENSG00000203907	6	73368555	73395133	-1	66	OOEP
ENSG00000172771	3	129401321	129428636	-1	66	EFCAB12
ENSG00000213937	16	3012923	3014505	1	66	CLDN9
ENSG00000184697	16	3014712	3020071	-1	65	CLDN6
ENSG00000163352	1	154993586	154994315	1	65	LENEP
ENSG00000175564	11	74000277	74009085	-1	65	UCP3
ENSG00000138068	2	37167820	37196598	-1	64	SULT6B1
ENSG00000211892	14	105620506	105626066	-1	64	IGHG4
ENSG00000187559	9	68302867	68305084	1	64	FOXD4L3
ENSG00000130822	X	153669733	153689010	-1	64	PNCK
ENSG00000125378	14	53949736	53958761	-1	63	BMP4
ENSG00000177606	1	58776845	58784048	-1	63	JUN
ENSG00000179046	4	188091272	188109603	-1	63	TRIML2
ENSG00000013441	2	200853009	200864691	-1	63	CLK1
ENSG00000214226	17	56791913	56838773	-1	63	C17orf67
ENSG00000183423	4	109848107	109872315	1	63	LRIT3
ENSG00000112110	6	159789812	159798436	1	63	MRPL18
ENSG00000176076	X	109623700	109625172	-1	62	KCNE5
ENSG00000204671	12	122172029	122174221	-1	62	IL31
ENSG00000204475	6	31588895	31593006	-1	62	NCR3
ENSG00000184368	X	20006713	20116907	-1	62	MAP7D2
ENSG00000124657	6	27957241	27958182	1	62	OR2B6
ENSG00000180447	9	86944362	86947506	-1	62	GAS1
ENSG00000138308	10	72934762	72954806	-1	62	PLA2G12B
ENSG00000115009	2	227805739	227817564	1	62	CCL20
ENSG00000010379	12	220621	262873	-1	61	SLC6A13
ENSG00000205129	4	185426249	185449826	1	61	C4orf47
ENSG00000140839	16	74408631	74421478	-1	61	CLEC18B
ENSG00000137463	4	139266165	139280225	-1	61	MGARP
ENSG00000163806	2	28782517	28850611	1	59	SPDYA
ENSG00000198130	2	190189735	190344193	-1	59	HIBCH
ENSG00000174776	3	167478684	167653983	-1	59	WDR49
ENSG00000225899	10	133623895	133626795	-1	59	FRG2B
ENSG00000184786	6	169740109	169751587	-1	58	DYNLT2
ENSG00000198743	21	34073578	34106260	1	58	SLC5A3
ENSG00000155026	7	5925550	5970689	-1	58	RSPH10B
ENSG00000171823	12	1565993	1594581	-1	58	FBXL14
ENSG00000122035	13	27270830	27275192	1	58	RASL11A
ENSG00000165555	14	77394021	77423523	-1	58	NOXRED1
ENSG00000139597	13	32400723	32428311	-1	58	N4BP2L1
ENSG00000186416	X	119588337	119606443	-1	57	NKRF
ENSG00000197540	19	544034	549924	1	57	GZMM
ENSG00000143167	1	167052836	167166479	-1	57	GPA33
ENSG00000128271	22	24417879	24442357	1	57	ADORA2A
