Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	HN-score(HN5)	organism	start2 (bp)	end2 (bp)	GOSlim GOA Accession(s)	GOSlim GOA Description
ENSG00000174015	H_13	45702320	45714559	-16	human	45702320	45714559	GO:0031410	cytoplasmic vesicle
ENSG00000174015	H_13	45702320	45714559	-16	human	45702320	45714559	GO:0043226	organelle
ENSG00000174015	H_13	45702320	45714559	-16	human	45702320	45714559	GO:0031410	cytoplasmic vesicle
ENSG00000174015	H_13	45702320	45714559	-16	human	45702320	45714559	GO:0043226	organelle
ENSG00000174015	H_13	45702320	45714559	-16	human	45702320	45714559	GO:0031410	cytoplasmic vesicle
ENSG00000174015	H_13	45702320	45714559	-16	human	45702320	45714559	GO:0043226	organelle
ENSG00000101463	H_20	24469629	24666616	-14	human	24469629	24666616	GO:0006886	intracellular protein transport
ENSG00000101463	H_20	24469629	24666616	-14	human	24469629	24666616	GO:0043226	organelle
ENSG00000101463	H_20	24469629	24666616	-14	human	24469629	24666616	GO:0005886	plasma membrane
ENSG00000101463	H_20	24469629	24666616	-14	human	24469629	24666616	GO:0031410	cytoplasmic vesicle
ENSG00000101463	H_20	24469629	24666616	-14	human	24469629	24666616	GO:0005768	endosome
ENSG00000101463	H_20	24469629	24666616	-14	human	24469629	24666616	GO:0048856	anatomical structure development
ENSG00000101463	H_20	24469629	24666616	-14	human	24469629	24666616	GO:0034330	cell junction organization
ENSG00000101463	H_20	24469629	24666616	-14	human	24469629	24666616	GO:0016192	vesicle-mediated transport
ENSG00000241945	H_21	44107373	44131181	-26	human	44107373	44131181	GO:0043226	organelle
ENSG00000241945	H_21	44107373	44131181	-26	human	44107373	44131181	GO:0005634	nucleus
ENSG00000241945	H_21	44107373	44131181	-26	human	44107373	44131181	GO:0003723	RNA binding
ENSG00000241945	H_21	44107373	44131181	-26	human	44107373	44131181	GO:0005730	nucleolus
ENSG00000241945	H_21	44107373	44131181	-26	human	44107373	44131181	GO:0005654	nucleoplasm
ENSG00000241945	H_21	44107373	44131181	-26	human	44107373	44131181	GO:0042254	ribosome biogenesis
ENSG00000241945	H_21	44107373	44131181	-26	human	44107373	44131181	GO:0065003	protein-containing complex assembly
ENSG00000101452	H_20	38962299	39039723	-21	human	38962299	39039723	GO:0003824	catalytic activity
ENSG00000101452	H_20	38962299	39039723	-21	human	38962299	39039723	GO:0140657	ATP-dependent activity
ENSG00000101452	H_20	38962299	39039723	-21	human	38962299	39039723	GO:0016787	hydrolase activity
ENSG00000101452	H_20	38962299	39039723	-21	human	38962299	39039723	GO:0140098	catalytic activity, acting on RNA
ENSG00000101452	H_20	38962299	39039723	-21	human	38962299	39039723	GO:0003824	catalytic activity
ENSG00000101452	H_20	38962299	39039723	-21	human	38962299	39039723	GO:0140657	ATP-dependent activity
ENSG00000101452	H_20	38962299	39039723	-21	human	38962299	39039723	GO:0043226	organelle
