Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	HN-score(HN5)	name
ENSG00000170473	12	55901413	55932618	-1	-14	PYM1
ENSG00000184675	X	64185117	64205708	-1	-14	AMER1
ENSG00000161653	17	44004622	44009068	1	-14	NAGS
ENSG00000100281	22	35257452	35295807	1	-14	HMGXB4
ENSG00000132773	1	45340052	45343973	1	-14	TOE1
ENSG00000156469	8	96239398	96261610	-1	-14	MTERF3
ENSG00000083093	16	23603160	23641321	-1	-14	PALB2
ENSG00000184602	16	11668455	11679152	1	-14	SNN
ENSG00000175087	1	26111165	26125555	1	-14	PDIK1L
ENSG00000101255	20	362835	397559	1	-14	TRIB3
ENSG00000169375	15	75369379	75455842	-1	-14	SIN3A
ENSG00000166477	15	51938025	51971778	-1	-14	LEO1
ENSG00000112984	5	138178719	138187723	1	-14	KIF20A
ENSG00000111671	12	6870935	6889358	-1	-14	SPSB2
ENSG00000129173	11	19224063	19241620	-1	-14	E2F8
ENSG00000171045	8	142212080	142403182	-1	-14	TSNARE1
ENSG00000160813	7	100435282	100436497	-1	-14	PPP1R35
ENSG00000166133	15	40569299	40574949	1	-14	RPUSD2
ENSG00000204479	1	13389632	13392629	1	-14	PRAMEF17
ENSG00000126264	19	35902529	35904377	1	-14	HCST
ENSG00000169508	13	99294539	99307399	-1	-14	GPR183
ENSG00000175505	11	67364168	67374177	-1	-14	CLCF1
ENSG00000137819	15	69298912	69407780	1	-14	PAQR5
ENSG00000101463	20	24469629	24666616	1	-14	SYNDIG1
ENSG00000198353	12	54016931	54056030	1	-14	HOXC4
ENSG00000277775	6	26250142	26250635	-1	-14	H3C7
ENSG00000255837	12	10995961	10998304	-1	-14	TAS2R20
ENSG00000107104	9	470291	746105	1	-14	KANK1
ENSG00000100105	22	31325804	31346346	-1	-14	PATZ1
ENSG00000112365	6	109460632	109483239	-1	-15	ZBTB24
ENSG00000104524	8	143603210	143609773	-1	-15	PYCR3
ENSG00000166855	15	65148219	65185342	-1	-15	CLPX
ENSG00000183092	14	100537147	100587417	-1	-15	BEGAIN
ENSG00000135476	12	53268299	53293638	1	-15	ESPL1
ENSG00000240857	2	18554723	18560679	-1	-15	RDH14
ENSG00000151353	2	663877	677406	-1	-15	TMEM18
ENSG00000107201	9	32455302	32526208	-1	-15	RIGI
ENSG00000143971	2	67397322	67412089	1	-15	ETAA1
ENSG00000099849	11	560404	564025	1	-15	RASSF7
ENSG00000164938	8	94925972	94949378	-1	-15	TP53INP1
ENSG00000254959	7	30752137	30892081	1	-15	INMT-MINDY4
ENSG00000147168	X	71107404	71112108	-1	-15	IL2RG
ENSG00000164849	7	1044546	1059261	1	-15	GPR146
ENSG00000205078	16	77199408	77213215	1	-15	SYCE1L
ENSG00000176092	1	26321698	26360080	-1	-15	CRYBG2
ENSG00000132109	11	4384897	4393702	-1	-15	TRIM21
ENSG00000160678	1	153627926	153632039	1	-15	S100A1
ENSG00000182359	11	106051098	106077459	-1	-15	KBTBD3
ENSG00000104081	15	40087890	40108892	-1	-15	BMF
ENSG00000232838	20	18137863	18143169	1	-15	PET117
ENSG00000081692	1	227730425	227735411	-1	-15	JMJD4
ENSG00000186280	11	94973709	94999519	1	-15	KDM4D
ENSG00000234409	22	20148416	20151055	-1	-15	CCDC188
ENSG00000127084	9	92947523	93036236	1	-15	FGD3
ENSG00000145241	4	67468762	67545503	-1	-15	CENPC
ENSG00000166246	16	4734344	4749396	1	-15	DNAAF8
ENSG00000179886	8	143597831	143603224	1	-15	TIGD5
ENSG00000186118	1	46668855	46673594	1	-15	TEX38
ENSG00000178226	16	31138926	31150083	-1	-15	PRSS36
ENSG00000168040	11	70203296	70207390	1	-15	FADD
ENSG00000198551	19	11559374	11619161	1	-15	ZNF627
ENSG00000129071	3	129430947	129440179	-1	-15	MBD4
ENSG00000145365	4	112272968	112285955	-1	-15	TIFA
ENSG00000153292	6	46997708	47042350	-1	-15	ADGRF1
ENSG00000196456	7	150368790	150398630	1	-16	ZNF775
ENSG00000008513	8	133454848	133571926	-1	-16	ST3GAL1
ENSG00000014138	11	65261913	65305959	1	-16	POLA2
ENSG00000183671	2	206175316	206218047	-1	-16	CMKLR2
ENSG00000138604	15	69160584	69272217	1	-16	GLCE
ENSG00000176909	19	48712725	48719725	-1	-16	MAMSTR
ENSG00000151117	11	18693122	18704785	1	-16	TMEM86A
ENSG00000223658	2	43675151	43676429	-1	-16	C1GALT1C1L
ENSG00000285509	11	121024125	121113108	1	-16	TBCEL-TECTA
ENSG00000119574	19	58513530	58538911	-1	-16	ZBTB45
ENSG00000125089	4	8182072	8241803	1	-16	SH3TC1
ENSG00000163823	3	46201711	46208313	-1	-16	CCR1
ENSG00000163825	3	46494611	46500950	1	-16	RTP3
