Gene stable ID	Chromosome/scaffold name	start1 (bp)	end1 (bp)	Strand	HN-score(HN5)
Os04g0107900	4	483234	485978	1	253
Os01g0136100	1	1948773	1949587	-1	246
Os02g0259900	2	9021454	9023102	1	238
Os03g0245800	3	7697015	7698027	1	237
Os03g0277300	3	9411494	9416082	-1	236
Os02g0259850	2	9016923	9018833	1	236
Os04g0445100	4	22200999	22201929	1	234
Os01g0136000	1	1944276	1944948	-1	233
Os01g0136200	1	1951930	1952681	1	229
Os04g0352400	4	16813905	16817974	-1	227
Os11g0244200	11	7750382	7751125	-1	224
Os01g0136050	1	1944426	1944968	1	222
Os03g0266300	3	8805567	8806556	1	217
Os01g0184100	1	4449070	4449876	-1	215
Os01g0135800	1	1934117	1934924	1	215
Os03g0267000	3	8834869	8835576	1	213
Os11g0149200	11	2276477	2276917	1	208
Os04g0108101	4	485272	485663	-1	205
Os01g0184050	1	4449056	4449806	1	205
Os03g0267200	3	8837821	8838527	-1	191
Os06g0229000	6	6701280	6701973	-1	185
Os08g0104400	8	233816	234464	-1	176
Os05g0519700	5	25803609	25807160	-1	171
Os05g0296800	5	13197199	13199560	-1	166
Os02g0782500	2	33179489	33180405	1	166
Os11g0533400	11	19430389	19431158	-1	165
Os03g0266900	3	8833718	8834470	-1	163
Os03g0218500	3	6244085	6247317	-1	162
Os01g0224200	1	6830317	6832770	-1	161
Os04g0578550	4	29163356	29165144	1	158
Os01g0910800	1	39679510	39680136	-1	157
Os06g0229066	6	6702956	6704431	-1	155
Os03g0745600	3	30639024	30640119	1	151
Os04g0445150	4	22201022	22201649	-1	149
Os06g0668200	6	27676510	27679751	-1	140
Os11g0453900	11	15320288	15321526	-1	138
Os04g0561500	4	28108757	28113603	1	135
Os01g0757500	1	31811367	31814552	-1	135
Os06g0565200	6	21761304	21762421	1	135
Os03g0133100	3	1870804	1871499	1	129
Os06g0253100	6	7940956	7941680	-1	129
Os02g0773200	2	32643551	32644836	1	127
Os01g0918400	1	40067581	40069618	1	126
Os06g0195800	6	4868189	4870144	1	123
Os09g0109600	9	862654	863340	1	121
Os06g0553100	6	20998086	20998850	-1	120
Os11g0506800	11	18070313	18071749	-1	119
Os06g0592500	6	23293383	23294073	-1	118
Os09g0425200	9	15420766	15421567	-1	118
Os07g0675200	7	28566115	28567042	1	116
Os03g0745000	3	30604067	30607159	-1	114
Os05g0468800	5	23013524	23014346	-1	114
Os05g0460000	5	22599462	22602556	-1	113
Os03g0832200	3	34952200	34955905	-1	113
Os08g0442900	8	21591002	21592039	-1	113
Os04g0548500	4	27466424	27467214	-1	112
Os09g0396900	9	13831868	13833654	1	112
Os04g0530600	4	26540478	26542966	-1	112
Os03g0729000	3	29784695	29787012	-1	108
Os05g0428600	5	21033769	21036041	-1	107
Os04g0538000	4	26913320	26919727	1	106
Os02g0260000	2	9026460	9026900	1	105
Os03g0168100	3	3678292	3679969	-1	104
Os07g0467200	7	16600103	16601979	-1	103
Os03g0701100	3	28138905	28141758	-1	103
Os03g0276700	3	9375984	9377688	1	99
Os02g0546600	2	20490867	20491976	-1	99
Os12g0437800	12	14411366	14412019	-1	99
Os03g0724500	3	29448215	29450245	-1	98
Os05g0407100	5	19837789	19838522	1	98
Os01g0585100	1	22742545	22747123	1	98
Os09g0494500	9	19158203	19159173	-1	98
Os07g0147550	7	2456969	2458136	1	98
Os02g0758000	2	31920854	31922068	1	98
Os06g0682900	6	28463798	28466237	-1	97
Os05g0375600	5	18126363	18129636	1	96
Os02g0711300	2	29468413	29469191	1	94
Os03g0750100	3	30904264	30909752	-1	92
Os03g0230300	3	6895178	6898355	1	92
Os05g0542500	5	26927607	26928882	1	91
Os03g0356498	3	13666905	13670143	1	91
Os06g0110200	6	593577	594130	1	90
Os01g0860601	1	37241157	37242066	1	90
Os11g0594500	11	22642566	22643982	-1	90
Os09g0115900	9	1255785	1257020	1	90
Os01g0124000	1	1341368	1342277	-1	88
Os01g0606900	1	23911517	23913239	1	87
Os03g0156600	3	3046791	3047782	-1	87
Os06g0133500	6	1785455	1785802	-1	86
Os03g0426900	3	17832202	17839082	1	86
Os03g0796000	3	33110648	33118198	1	85
Os01g0644200	1	25931149	25931730	-1	85
Os03g0417700	3	17340417	17342284	-1	85
Os08g0520600	8	25888333	25889040	-1	84
Os02g0542450	2	20151011	20151369	1	84
Os02g0463401	2	15543720	15544246	-1	82
Os02g0782550	2	33179607	33180241	-1	81
Os05g0494600	5	24291732	24292848	-1	81
Os10g0173000	10	4994500	4995160	-1	81
Os12g0147200	12	2312450	2313217	1	80
Os03g0300600	3	10571694	10573269	-1	80
Os01g0840100	1	36039716	36043151	1	80
Os04g0511200	4	25563419	25565153	-1	80
Os06g0235900	6	7080825	7082583	-1	79
Os04g0185600	4	5811361	5813082	-1	79
Os07g0154100	7	2870686	2872829	1	78
