Gene stable ID	Chromosome/scaffold name	Gene start(bp)	Gene end(bp)	GOSlim GOA Accession(s)	GOSlim GOA Description	HN-score(HN5)
Os08g0201100	8	5864931	5865851	GO:0005575	cellular_component	-40
Os11g0661600	11	26572255	26574116	GO:0030312	external encapsulating structure	-40
Os12g0512100	12	19788367	19791483	GO:0016020	membrane	-40
Os12g0512100	12	19788367	19791483	GO:0005886	plasma membrane	-40
Os12g0512100	12	19788367	19791483	GO:0005575	cellular_component	-40
Os12g0512100	12	19788367	19791483	GO:0003674	molecular_function	-40
Os12g0512100	12	19788367	19791483	GO:0005215	transporter activity	-40
Os12g0512100	12	19788367	19791483	GO:0009987	cellular process	-40
Os12g0512100	12	19788367	19791483	GO:0008150	biological_process	-40
Os12g0512100	12	19788367	19791483	GO:0006810	transport	-40
Os09g0554200	9	21956407	21957337	GO:0016020	membrane	-40
Os09g0567500	9	22660725	22665351	GO:0003674	molecular_function	-40
Os09g0554200	9	21956407	21957337	GO:0005575	cellular_component	-40
Os05g0458600	5	22533536	22536087	GO:0019748	secondary metabolic process	-40
Os01g0695800	1	28786544	28787701	GO:0003674	molecular_function	-40
Os01g0695800	1	28786544	28787701	GO:0003824	catalytic activity	-40
Os01g0695800	1	28786544	28787701	GO:0016787	hydrolase activity	-40
Os01g0695800	1	28786544	28787701	GO:0005488	binding	-40
Os01g0695800	1	28786544	28787701	GO:0000166	nucleotide binding	-40
Os01g0695800	1	28786544	28787701	GO:0005575	cellular_component	-40
Os08g0201100	8	5864931	5865851	GO:0016020	membrane	-40
Os09g0567500	9	22660725	22665351	GO:0003824	catalytic activity	-40
Os01g0695800	1	28786544	28787701	GO:0005215	transporter activity	-40
Os09g0567500	9	22660725	22665351	GO:0005622	intracellular anatomical structure	-40
Os06g0636700	6	25870258	25876328	GO:0003824	catalytic activity	-40
Os05g0577100	5	28743711	28744604	GO:0009605	response to external stimulus	-40
Os05g0577100	5	28743711	28744604	GO:0008150	biological_process	-40
Os06g0636700	6	25870258	25876328	GO:0003674	molecular_function	-40
Os05g0528600	5	26260749	26263632	GO:0003824	catalytic activity	-40
Os05g0528600	5	26260749	26263632	GO:0000166	nucleotide binding	-40
Os05g0528600	5	26260749	26263632	GO:0005488	binding	-40
Os05g0528600	5	26260749	26263632	GO:0003674	molecular_function	-40
Os09g0567500	9	22660725	22665351	GO:0006139	nucleobase-containing compound metabolic process	-40
Os09g0567500	9	22660725	22665351	GO:0008150	biological_process	-40
Os09g0567500	9	22660725	22665351	GO:0016020	membrane	-40
Os11g0439600	11	14390405	14398122	GO:0003674	molecular_function	-40
Os09g0567500	9	22660725	22665351	GO:0005575	cellular_component	-40
Os09g0567500	9	22660725	22665351	GO:0019748	secondary metabolic process	-40
Os09g0567500	9	22660725	22665351	GO:0009058	biosynthetic process	-40
Os09g0567500	9	22660725	22665351	GO:0009987	cellular process	-40
Os09g0567500	9	22660725	22665351	GO:0006629	lipid metabolic process	-40
Os09g0567500	9	22660725	22665351	GO:0008152	metabolic process	-40
Os01g0695800	1	28786544	28787701	GO:0016020	membrane	-40
Os01g0695800	1	28786544	28787701	GO:0006810	transport	-40
Os02g0706900	2	29224218	29226240	GO:0003674	molecular_function	-40
Os11g0661600	11	26572255	26574116	GO:0005488	binding	-40
Os05g0458600	5	22533536	22536087	GO:0003674	molecular_function	-40
Os01g0891100	1	38750313	38750768	GO:0008150	biological_process	-40
Os01g0891100	1	38750313	38750768	GO:0008152	metabolic process	-40
Os01g0891100	1	38750313	38750768	GO:0005975	carbohydrate metabolic process	-40
Os01g0891100	1	38750313	38750768	GO:0003674	molecular_function	-40
Os01g0891100	1	38750313	38750768	GO:0003824	catalytic activity	-40
Os01g0891100	1	38750313	38750768	GO:0016787	hydrolase activity	-40
Os11g0661600	11	26572255	26574116	GO:0006950	response to stress	-40
Os11g0661600	11	26572255	26574116	GO:0005618	cell wall	-40
Os05g0458600	5	22533536	22536087	GO:0003824	catalytic activity	-40
Os11g0661600	11	26572255	26574116	GO:0008150	biological_process	-40
Os11g0661600	11	26572255	26574116	GO:0009987	cellular process	-40
Os11g0661600	11	26572255	26574116	GO:0008152	metabolic process	-40
Os11g0661600	11	26572255	26574116	GO:0009056	catabolic process	-40
Os11g0661600	11	26572255	26574116	GO:0005575	cellular_component	-40
