Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	HN-score(HN5)	organism	start1 (bp)	end1 (bp)	GOSlim GOA Accession(s)	GOSlim GOA Description
Os04g0107900	R_4	483234	485978	253	rice	483234	485978	GO:0003674	molecular_function
Os04g0107900	R_4	483234	485978	253	rice	483234	485978	GO:0005515	protein binding
Os04g0107900	R_4	483234	485978	253	rice	483234	485978	GO:0005488	binding
Os04g0107900	R_4	483234	485978	253	rice	483234	485978	GO:0008150	biological_process
Os04g0107900	R_4	483234	485978	253	rice	483234	485978	GO:0006950	response to stress
Os04g0107900	R_4	483234	485978	253	rice	483234	485978	GO:0009628	response to abiotic stimulus
Os04g0107900	R_4	483234	485978	253	rice	483234	485978	GO:0009987	cellular process
Os04g0107900	R_4	483234	485978	253	rice	483234	485978	GO:0000166	nucleotide binding
Os04g0107900	R_4	483234	485978	253	rice	483234	485978	GO:0005575	cellular_component
Os04g0107900	R_4	483234	485978	253	rice	483234	485978	GO:0005886	plasma membrane
Os04g0107900	R_4	483234	485978	253	rice	483234	485978	GO:0016020	membrane
Os04g0107900	R_4	483234	485978	253	rice	483234	485978	GO:0005622	intracellular anatomical structure
Os04g0107900	R_4	483234	485978	253	rice	483234	485978	GO:0005737	cytoplasm
Os04g0107900	R_4	483234	485978	253	rice	483234	485978	GO:0005829	cytosol
Os04g0107900	R_4	483234	485978	253	rice	483234	485978	GO:0003824	catalytic activity
Os04g0107900	R_4	483234	485978	253	rice	483234	485978	GO:0016787	hydrolase activity
Os01g0136100	R_1	1948773	1949587	246	rice	1948773	1949587	GO:0003674	molecular_function
Os01g0136100	R_1	1948773	1949587	246	rice	1948773	1949587	GO:0005515	protein binding
Os01g0136100	R_1	1948773	1949587	246	rice	1948773	1949587	GO:0005488	binding
Os01g0136100	R_1	1948773	1949587	246	rice	1948773	1949587	GO:0008150	biological_process
Os01g0136100	R_1	1948773	1949587	246	rice	1948773	1949587	GO:0009987	cellular process
Os01g0136100	R_1	1948773	1949587	246	rice	1948773	1949587	GO:0016043	cellular component organization
Os01g0136100	R_1	1948773	1949587	246	rice	1948773	1949587	GO:0006950	response to stress
Os01g0136100	R_1	1948773	1949587	246	rice	1948773	1949587	GO:0009628	response to abiotic stimulus
Os01g0136100	R_1	1948773	1949587	246	rice	1948773	1949587	GO:0042221	response to chemical
Os01g0136100	R_1	1948773	1949587	246	rice	1948773	1949587	GO:0005575	cellular_component
Os01g0136100	R_1	1948773	1949587	246	rice	1948773	1949587	GO:0005622	intracellular anatomical structure
Os01g0136100	R_1	1948773	1949587	246	rice	1948773	1949587	GO:0005737	cytoplasm
Os02g0259900	R_2	9021454	9023102	238	rice	9021454	9023102	GO:0005575	cellular_component
Os02g0259900	R_2	9021454	9023102	238	rice	9021454	9023102	GO:0008150	biological_process
Os02g0259900	R_2	9021454	9023102	238	rice	9021454	9023102	GO:0009987	cellular process
Os03g0245800	R_3	7697015	7698027	237	rice	7697015	7698027	GO:0008150	biological_process
Os03g0245800	R_3	7697015	7698027	237	rice	7697015	7698027	GO:0006950	response to stress
Os03g0245800	R_3	7697015	7698027	237	rice	7697015	7698027	GO:0009628	response to abiotic stimulus
Os03g0245800	R_3	7697015	7698027	237	rice	7697015	7698027	GO:0005575	cellular_component
Os03g0245800	R_3	7697015	7698027	237	rice	7697015	7698027	GO:0005622	intracellular anatomical structure
Os03g0245800	R_3	7697015	7698027	237	rice	7697015	7698027	GO:0005737	cytoplasm
Os03g0245800	R_3	7697015	7698027	237	rice	7697015	7698027	GO:0009507	chloroplast
Os03g0245800	R_3	7697015	7698027	237	rice	7697015	7698027	GO:0009536	plastid
Os03g0277300	R_3	9411494	9416082	236	rice	9411494	9416082	GO:0003674	molecular_function
Os03g0277300	R_3	9411494	9416082	236	rice	9411494	9416082	GO:0005515	protein binding
Os03g0277300	R_3	9411494	9416082	236	rice	9411494	9416082	GO:0005488	binding
Os03g0277300	R_3	9411494	9416082	236	rice	9411494	9416082	GO:0008150	biological_process
Os03g0277300	R_3	9411494	9416082	236	rice	9411494	9416082	GO:0009987	cellular process
Os03g0277300	R_3	9411494	9416082	236	rice	9411494	9416082	GO:0003824	catalytic activity
Os03g0277300	R_3	9411494	9416082	236	rice	9411494	9416082	GO:0016787	hydrolase activity
Os03g0277300	R_3	9411494	9416082	236	rice	9411494	9416082	GO:0000166	nucleotide binding
Os03g0277300	R_3	9411494	9416082	236	rice	9411494	9416082	GO:0005575	cellular_component
Os03g0277300	R_3	9411494	9416082	236	rice	9411494	9416082	GO:0005622	intracellular anatomical structure
Os03g0277300	R_3	9411494	9416082	236	rice	9411494	9416082	GO:0005737	cytoplasm
Os03g0277300	R_3	9411494	9416082	236	rice	9411494	9416082	GO:0006950	response to stress
Os03g0277300	R_3	9411494	9416082	236	rice	9411494	9416082	GO:0042221	response to chemical
Os03g0277300	R_3	9411494	9416082	236	rice	9411494	9416082	GO:0009628	response to abiotic stimulus
Os02g0259850	R_2	9016923	9018833	236	rice	9016923	9018833	GO:0008150	biological_process
Os02g0259850	R_2	9016923	9018833	236	rice	9016923	9018833	GO:0009987	cellular process
Os04g0445100	R_4	22200999	22201929	234	rice	22200999	22201929	GO:0003674	molecular_function
Os04g0445100	R_4	22200999	22201929	234	rice	22200999	22201929	GO:0005515	protein binding
Os04g0445100	R_4	22200999	22201929	234	rice	22200999	22201929	GO:0005488	binding
Os04g0445100	R_4	22200999	22201929	234	rice	22200999	22201929	GO:0008150	biological_process
Os04g0445100	R_4	22200999	22201929	234	rice	22200999	22201929	GO:0009987	cellular process
Os04g0445100	R_4	22200999	22201929	234	rice	22200999	22201929	GO:0016043	cellular component organization
Os04g0445100	R_4	22200999	22201929	234	rice	22200999	22201929	GO:0006950	response to stress
Os04g0445100	R_4	22200999	22201929	234	rice	22200999	22201929	GO:0009628	response to abiotic stimulus
Os04g0445100	R_4	22200999	22201929	234	rice	22200999	22201929	GO:0042221	response to chemical
Os04g0445100	R_4	22200999	22201929	234	rice	22200999	22201929	GO:0005575	cellular_component
Os04g0445100	R_4	22200999	22201929	234	rice	22200999	22201929	GO:0005622	intracellular anatomical structure
Os04g0445100	R_4	22200999	22201929	234	rice	22200999	22201929	GO:0005737	cytoplasm
Os04g0445100	R_4	22200999	22201929	234	rice	22200999	22201929	GO:0005783	endoplasmic reticulum
Os01g0136000	R_1	1944276	1944948	233	rice	1944276	1944948	GO:0003674	molecular_function
Os01g0136000	R_1	1944276	1944948	233	rice	1944276	1944948	GO:0005515	protein binding
Os01g0136000	R_1	1944276	1944948	233	rice	1944276	1944948	GO:0005488	binding
Os01g0136000	R_1	1944276	1944948	233	rice	1944276	1944948	GO:0008150	biological_process
Os01g0136000	R_1	1944276	1944948	233	rice	1944276	1944948	GO:0009987	cellular process
Os01g0136000	R_1	1944276	1944948	233	rice	1944276	1944948	GO:0016043	cellular component organization
Os01g0136000	R_1	1944276	1944948	233	rice	1944276	1944948	GO:0006950	response to stress
Os01g0136000	R_1	1944276	1944948	233	rice	1944276	1944948	GO:0009628	response to abiotic stimulus
Os01g0136000	R_1	1944276	1944948	233	rice	1944276	1944948	GO:0042221	response to chemical
Os01g0136000	R_1	1944276	1944948	233	rice	1944276	1944948	GO:0005575	cellular_component
Os01g0136000	R_1	1944276	1944948	233	rice	1944276	1944948	GO:0005622	intracellular anatomical structure
Os01g0136000	R_1	1944276	1944948	233	rice	1944276	1944948	GO:0005737	cytoplasm
Os01g0136200	R_1	1951930	1952681	229	rice	1951930	1952681	GO:0003674	molecular_function
Os01g0136200	R_1	1951930	1952681	229	rice	1951930	1952681	GO:0005515	protein binding
Os01g0136200	R_1	1951930	1952681	229	rice	1951930	1952681	GO:0005488	binding
Os01g0136200	R_1	1951930	1952681	229	rice	1951930	1952681	GO:0008150	biological_process
Os01g0136200	R_1	1951930	1952681	229	rice	1951930	1952681	GO:0009987	cellular process
Os01g0136200	R_1	1951930	1952681	229	rice	1951930	1952681	GO:0016043	cellular component organization
Os01g0136200	R_1	1951930	1952681	229	rice	1951930	1952681	GO:0006950	response to stress
Os01g0136200	R_1	1951930	1952681	229	rice	1951930	1952681	GO:0009628	response to abiotic stimulus
Os01g0136200	R_1	1951930	1952681	229	rice	1951930	1952681	GO:0042221	response to chemical
Os01g0136200	R_1	1951930	1952681	229	rice	1951930	1952681	GO:0005575	cellular_component
Os01g0136200	R_1	1951930	1952681	229	rice	1951930	1952681	GO:0005622	intracellular anatomical structure
Os01g0136200	R_1	1951930	1952681	229	rice	1951930	1952681	GO:0005737	cytoplasm
Os04g0352400	R_4	16813905	16817974	227	rice	16813905	16817974	GO:0008150	biological_process
Os04g0352400	R_4	16813905	16817974	227	rice	16813905	16817974	GO:0009987	cellular process
Os04g0352400	R_4	16813905	16817974	227	rice	16813905	16817974	GO:0003674	molecular_function
Os04g0352400	R_4	16813905	16817974	227	rice	16813905	16817974	GO:0003824	catalytic activity
Os04g0352400	R_4	16813905	16817974	227	rice	16813905	16817974	GO:0005575	cellular_component
Os04g0352400	R_4	16813905	16817974	227	rice	16813905	16817974	GO:0005622	intracellular anatomical structure
Os04g0352400	R_4	16813905	16817974	227	rice	16813905	16817974	GO:0005737	cytoplasm
Os04g0352400	R_4	16813905	16817974	227	rice	16813905	16817974	GO:0008152	metabolic process
Os04g0352400	R_4	16813905	16817974	227	rice	16813905	16817974	GO:0036211	protein modification process
Os04g0352400	R_4	16813905	16817974	227	rice	16813905	16817974	GO:0019538	protein metabolic process
Os04g0352400	R_4	16813905	16817974	227	rice	16813905	16817974	GO:0005515	protein binding
Os04g0352400	R_4	16813905	16817974	227	rice	16813905	16817974	GO:0005488	binding
Os11g0244200	R_11	7750382	7751125	224	rice	7750382	7751125	GO:0003674	molecular_function
Os11g0244200	R_11	7750382	7751125	224	rice	7750382	7751125	GO:0005515	protein binding
Os11g0244200	R_11	7750382	7751125	224	rice	7750382	7751125	GO:0005488	binding
Os11g0244200	R_11	7750382	7751125	224	rice	7750382	7751125	GO:0008150	biological_process
Os11g0244200	R_11	7750382	7751125	224	rice	7750382	7751125	GO:0009987	cellular process
Os11g0244200	R_11	7750382	7751125	224	rice	7750382	7751125	GO:0016043	cellular component organization
Os11g0244200	R_11	7750382	7751125	224	rice	7750382	7751125	GO:0006950	response to stress
Os11g0244200	R_11	7750382	7751125	224	rice	7750382	7751125	GO:0009628	response to abiotic stimulus
Os11g0244200	R_11	7750382	7751125	224	rice	7750382	7751125	GO:0042221	response to chemical
Os11g0244200	R_11	7750382	7751125	224	rice	7750382	7751125	GO:0005575	cellular_component
Os11g0244200	R_11	7750382	7751125	224	rice	7750382	7751125	GO:0005622	intracellular anatomical structure
Os11g0244200	R_11	7750382	7751125	224	rice	7750382	7751125	GO:0005737	cytoplasm
Os11g0244200	R_11	7750382	7751125	224	rice	7750382	7751125	GO:0005783	endoplasmic reticulum
Os01g0136050	R_1	1944426	1944968	222	rice	1944426	1944968	GO:0005575	cellular_component
