Gene stable ID	Chromosome/scaffold name	Gene start(bp)	Gene end(bp)	GOSlim GOA Accession(s)	GOSlim GOA Description	GOSlim_domain	HN-score(HN5)	name
ENSG00000173110	1	161524540	161526894	GO:0140657	ATP-dependent activity	molecular_function	245	HSPA6
ENSG00000173110	1	161524540	161526894	GO:0005634	nucleus	cellular_component	245	HSPA6
ENSG00000173110	1	161524540	161526894	GO:0031410	cytoplasmic vesicle	cellular_component	245	HSPA6
ENSG00000173110	1	161524540	161526894	GO:0003824	catalytic activity	molecular_function	245	HSPA6
ENSG00000173110	1	161524540	161526894	GO:0005615	extracellular space	cellular_component	245	HSPA6
ENSG00000173110	1	161524540	161526894	GO:0005576	extracellular region	cellular_component	245	HSPA6
ENSG00000173110	1	161524540	161526894	GO:0006457	protein folding	biological_process	245	HSPA6
ENSG00000173110	1	161524540	161526894	GO:0016787	hydrolase activity	molecular_function	245	HSPA6
ENSG00000173110	1	161524540	161526894	GO:0005829	cytosol	cellular_component	245	HSPA6
ENSG00000173110	1	161524540	161526894	GO:0005856	cytoskeleton	cellular_component	245	HSPA6
ENSG00000173110	1	161524540	161526894	GO:0043226	organelle	cellular_component	245	HSPA6
ENSG00000173110	1	161524540	161526894	GO:0044183	protein folding chaperone	molecular_function	245	HSPA6
ENSG00000173110	1	161524540	161526894	GO:0005815	microtubule organizing center	cellular_component	245	HSPA6
ENSG00000204389	6	31815543	31817946	GO:1901135	carbohydrate derivative metabolic process	biological_process	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0030163	protein catabolic process	biological_process	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0002376	immune system process	biological_process	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0048856	anatomical structure development	biological_process	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0030154	cell differentiation	biological_process	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0065003	protein-containing complex assembly	biological_process	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0055086	nucleobase-containing small molecule metabolic process	biological_process	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0036211	protein modification process	biological_process	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0061024	membrane organization	biological_process	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0007005	mitochondrion organization	biological_process	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0140110	transcription regulator activity	molecular_function	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0001618	virus receptor activity	molecular_function	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0006351	DNA-templated transcription	biological_process	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0005654	nucleoplasm	cellular_component	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0023052	signaling	biological_process	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0005634	nucleus	cellular_component	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0043226	organelle	cellular_component	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0044183	protein folding chaperone	molecular_function	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0140657	ATP-dependent activity	molecular_function	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0012501	programmed cell death	biological_process	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0005783	endoplasmic reticulum	cellular_component	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0005856	cytoskeleton	cellular_component	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0005815	microtubule organizing center	cellular_component	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0005739	mitochondrion	cellular_component	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0006355	regulation of DNA-templated transcription	biological_process	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0005576	extracellular region	cellular_component	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0016787	hydrolase activity	molecular_function	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0005829	cytosol	cellular_component	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0005615	extracellular space	cellular_component	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0007010	cytoskeleton organization	biological_process	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0000278	mitotic cell cycle	biological_process	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0140014	mitotic nuclear division	biological_process	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0006457	protein folding	biological_process	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0098772	molecular function regulator activity	molecular_function	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0048018	receptor ligand activity	molecular_function	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0016071	mRNA metabolic process	biological_process	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0003824	catalytic activity	molecular_function	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0031410	cytoplasmic vesicle	cellular_component	239	HSPA1A
ENSG00000204389	6	31815543	31817946	GO:0003723	RNA binding	molecular_function	239	HSPA1A
ENSG00000204388	6	31827738	31830254	GO:0023052	signaling	biological_process	231	HSPA1B
ENSG00000204388	6	31827738	31830254	GO:0065003	protein-containing complex assembly	biological_process	231	HSPA1B
ENSG00000204388	6	31827738	31830254	GO:0005634	nucleus	cellular_component	231	HSPA1B
ENSG00000204388	6	31827738	31830254	GO:0003723	RNA binding	molecular_function	231	HSPA1B
