Gene stable ID	Chromosome/scaffold name	start2 (bp)	end2 (bp)	HN-score(HN5)	organism	GOSlim GOA Accession(s)	GOSlim GOA Description	GOSlim_domain
ENSG00000173110	H_1	161524540	161526894	245	human	GO:0140657	ATP-dependent activity	molecular_function
ENSG00000173110	H_1	161524540	161526894	245	human	GO:0044183	protein folding chaperone	molecular_function
ENSG00000173110	H_1	161524540	161526894	245	human	GO:0043226	organelle	cellular_component
ENSG00000173110	H_1	161524540	161526894	245	human	GO:0005856	cytoskeleton	cellular_component
ENSG00000173110	H_1	161524540	161526894	245	human	GO:0005815	microtubule organizing center	cellular_component
ENSG00000173110	H_1	161524540	161526894	245	human	GO:0005829	cytosol	cellular_component
ENSG00000173110	H_1	161524540	161526894	245	human	GO:0005634	nucleus	cellular_component
ENSG00000173110	H_1	161524540	161526894	245	human	GO:0006457	protein folding	biological_process
ENSG00000173110	H_1	161524540	161526894	245	human	GO:0005576	extracellular region	cellular_component
ENSG00000173110	H_1	161524540	161526894	245	human	GO:0005615	extracellular space	cellular_component
ENSG00000173110	H_1	161524540	161526894	245	human	GO:0003824	catalytic activity	molecular_function
ENSG00000173110	H_1	161524540	161526894	245	human	GO:0016787	hydrolase activity	molecular_function
ENSG00000173110	H_1	161524540	161526894	245	human	GO:0031410	cytoplasmic vesicle	cellular_component
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0140657	ATP-dependent activity	molecular_function
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0044183	protein folding chaperone	molecular_function
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0043226	organelle	cellular_component
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0005634	nucleus	cellular_component
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0003723	RNA binding	molecular_function
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0005654	nucleoplasm	cellular_component
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0012501	programmed cell death	biological_process
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0005783	endoplasmic reticulum	cellular_component
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0005856	cytoskeleton	cellular_component
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0005815	microtubule organizing center	cellular_component
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0005739	mitochondrion	cellular_component
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0006351	DNA-templated transcription	biological_process
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0006355	regulation of DNA-templated transcription	biological_process
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0023052	signaling	biological_process
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0005576	extracellular region	cellular_component
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0005829	cytosol	cellular_component
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0005615	extracellular space	cellular_component
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0007010	cytoskeleton organization	biological_process
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0000278	mitotic cell cycle	biological_process
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0140014	mitotic nuclear division	biological_process
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0006457	protein folding	biological_process
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0098772	molecular function regulator activity	molecular_function
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0048018	receptor ligand activity	molecular_function
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0016071	mRNA metabolic process	biological_process
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0003824	catalytic activity	molecular_function
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0016787	hydrolase activity	molecular_function
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0031410	cytoplasmic vesicle	cellular_component
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0140110	transcription regulator activity	molecular_function
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0001618	virus receptor activity	molecular_function
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0030163	protein catabolic process	biological_process
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0002376	immune system process	biological_process
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0048856	anatomical structure development	biological_process
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0030154	cell differentiation	biological_process
ENSG00000204389	H_6	31815543	31817946	239	human	GO:1901135	carbohydrate derivative metabolic process	biological_process
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0055086	nucleobase-containing small molecule metabolic process	biological_process
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0036211	protein modification process	biological_process
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0065003	protein-containing complex assembly	biological_process
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0061024	membrane organization	biological_process
ENSG00000204389	H_6	31815543	31817946	239	human	GO:0007005	mitochondrion organization	biological_process
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0140657	ATP-dependent activity	molecular_function
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0044183	protein folding chaperone	molecular_function
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0043226	organelle	cellular_component
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0005634	nucleus	cellular_component
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0003723	RNA binding	molecular_function
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0005654	nucleoplasm	cellular_component
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0012501	programmed cell death	biological_process
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0005783	endoplasmic reticulum	cellular_component
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0005856	cytoskeleton	cellular_component
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0005815	microtubule organizing center	cellular_component
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0005739	mitochondrion	cellular_component
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0005829	cytosol	cellular_component
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0007010	cytoskeleton organization	biological_process
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0000278	mitotic cell cycle	biological_process
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0140014	mitotic nuclear division	biological_process
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0006457	protein folding	biological_process
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0005576	extracellular region	cellular_component
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0016071	mRNA metabolic process	biological_process
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0005615	extracellular space	cellular_component
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0003824	catalytic activity	molecular_function
ENSG00000204388	H_6	31827738	31830254	231	human	GO:0016787	hydrolase activity	molecular_function
