Gene stable ID	Chromosome/scaffold name	Gene start(bp)	Gene end(bp)	GOSlim GOA Accession(s)	GOSlim GOA Description	GOSlim_domain	HN-score(HN5)
Os04g0107900	4	483234	485978	GO:0005829	cytosol	cellular_component	253
Os04g0107900	4	483234	485978	GO:0008150	biological_process	biological_process	253
Os04g0107900	4	483234	485978	GO:0003824	catalytic activity	molecular_function	253
Os04g0107900	4	483234	485978	GO:0005622	intracellular anatomical structure	cellular_component	253
Os04g0107900	4	483234	485978	GO:0016020	membrane	cellular_component	253
Os04g0107900	4	483234	485978	GO:0005886	plasma membrane	cellular_component	253
Os04g0107900	4	483234	485978	GO:0005575	cellular_component	cellular_component	253
Os04g0107900	4	483234	485978	GO:0016787	hydrolase activity	molecular_function	253
Os04g0107900	4	483234	485978	GO:0009987	cellular process	biological_process	253
Os04g0107900	4	483234	485978	GO:0009628	response to abiotic stimulus	biological_process	253
Os04g0107900	4	483234	485978	GO:0006950	response to stress	biological_process	253
Os04g0107900	4	483234	485978	GO:0000166	nucleotide binding	molecular_function	253
Os04g0107900	4	483234	485978	GO:0005488	binding	molecular_function	253
Os04g0107900	4	483234	485978	GO:0003674	molecular_function	molecular_function	253
Os04g0107900	4	483234	485978	GO:0005737	cytoplasm	cellular_component	253
Os04g0107900	4	483234	485978	GO:0005515	protein binding	molecular_function	253
Os01g0136100	1	1948773	1949587	GO:0005515	protein binding	molecular_function	246
Os01g0136100	1	1948773	1949587	GO:0005622	intracellular anatomical structure	cellular_component	246
Os01g0136100	1	1948773	1949587	GO:0005575	cellular_component	cellular_component	246
Os01g0136100	1	1948773	1949587	GO:0042221	response to chemical	biological_process	246
Os01g0136100	1	1948773	1949587	GO:0009628	response to abiotic stimulus	biological_process	246
Os01g0136100	1	1948773	1949587	GO:0003674	molecular_function	molecular_function	246
Os01g0136100	1	1948773	1949587	GO:0008150	biological_process	biological_process	246
Os01g0136100	1	1948773	1949587	GO:0005488	binding	molecular_function	246
Os01g0136100	1	1948773	1949587	GO:0006950	response to stress	biological_process	246
Os01g0136100	1	1948773	1949587	GO:0016043	cellular component organization	biological_process	246
Os01g0136100	1	1948773	1949587	GO:0009987	cellular process	biological_process	246
Os01g0136100	1	1948773	1949587	GO:0005737	cytoplasm	cellular_component	246
Os02g0259900	2	9021454	9023102	GO:0009987	cellular process	biological_process	238
Os02g0259900	2	9021454	9023102	GO:0008150	biological_process	biological_process	238
Os02g0259900	2	9021454	9023102	GO:0005575	cellular_component	cellular_component	238
Os03g0245800	3	7697015	7698027	GO:0005737	cytoplasm	cellular_component	237
Os03g0245800	3	7697015	7698027	GO:0009507	chloroplast	cellular_component	237
Os03g0245800	3	7697015	7698027	GO:0009536	plastid	cellular_component	237
Os03g0245800	3	7697015	7698027	GO:0005575	cellular_component	cellular_component	237
Os03g0245800	3	7697015	7698027	GO:0009628	response to abiotic stimulus	biological_process	237
Os03g0245800	3	7697015	7698027	GO:0006950	response to stress	biological_process	237
Os03g0245800	3	7697015	7698027	GO:0008150	biological_process	biological_process	237
Os03g0245800	3	7697015	7698027	GO:0005622	intracellular anatomical structure	cellular_component	237
Os03g0277300	3	9411494	9416082	GO:0005737	cytoplasm	cellular_component	236
Os03g0277300	3	9411494	9416082	GO:0008150	biological_process	biological_process	236
Os03g0277300	3	9411494	9416082	GO:0005515	protein binding	molecular_function	236
Os03g0277300	3	9411494	9416082	GO:0003674	molecular_function	molecular_function	236
Os03g0277300	3	9411494	9416082	GO:0006950	response to stress	biological_process	236
Os03g0277300	3	9411494	9416082	GO:0003824	catalytic activity	molecular_function	236
Os03g0277300	3	9411494	9416082	GO:0016787	hydrolase activity	molecular_function	236
Os03g0277300	3	9411494	9416082	GO:0000166	nucleotide binding	molecular_function	236
Os03g0277300	3	9411494	9416082	GO:0005575	cellular_component	cellular_component	236
Os03g0277300	3	9411494	9416082	GO:0005622	intracellular anatomical structure	cellular_component	236
Os03g0277300	3	9411494	9416082	GO:0009628	response to abiotic stimulus	biological_process	236
Os03g0277300	3	9411494	9416082	GO:0042221	response to chemical	biological_process	236
Os03g0277300	3	9411494	9416082	GO:0009987	cellular process	biological_process	236
